Founder,Pop,Clone,Notes,Type,Gene,Distance to gene,FREQ IN CL,FREQ OUT CL,Notes
L048,2,1,"likely mutator, not used",syn,HXT8,,100.00%,0.09%,
L048,2,1,"likely mutator, not used",non,OSW1,,100.00%,2.71%,
L048,2,1,"likely mutator, not used",syn,MGR3,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-non,CRT10,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-non,CRT10,,100.00%,0.07%,
L048,2,1,"likely mutator, not used",non,ATP4,,100.00%,0.71%,
L048,2,1,"likely mutator, not used",prom,BNI1,122,100.00%,0.27%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.32%,
L048,2,1,"likely mutator, not used",non,TOR2,,100.00%,0.10%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.08%,
L048,2,1,"likely mutator, not used",syn,TSA2,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",syn,HFI1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,2.95%,
L048,2,1,"likely mutator, not used",non,SEC10,,100.00%,0.09%,
L048,2,1,"likely mutator, not used",complex-stop,MNE1,,100.00%,0.60%,
L048,2,1,"likely mutator, not used",complex-stop,MNE1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,REG1,,100.00%,0.27%,
L048,2,1,"likely mutator, not used",prom,ADE4,375,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,APL1,,100.00%,0.08%,
L048,2,1,"likely mutator, not used",prom,RRN11,368,100.00%,0.33%,
L048,2,1,"likely mutator, not used",non,TEL1,,100.00%,0.10%,
L048,2,1,"likely mutator, not used",stop,PDR11,,100.00%,2.09%,
L048,2,1,"likely mutator, not used",prom,TRM11,400,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,LEU5,,100.00%,0.07%,
L048,2,1,"likely mutator, not used",syn,PTI1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,3.86%,
L048,2,1,"likely mutator, not used",complex-non,SLK19,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-non,SLK19,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,SLZ1,,100.00%,1.04%,
L048,2,1,"likely mutator, not used",complex-non,TFC8,,100.00%,0.07%,
L048,2,1,"likely mutator, not used",complex-non,TFC8,,100.00%,0.07%,
L048,2,1,"likely mutator, not used",complex-non,TFC8,,100.00%,0.07%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-prom,YET1,6,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-prom,YET1,7,100.00%,0.10%,
L048,2,1,"likely mutator, not used",prom,YJL144W,276,100.00%,0.68%,
L048,2,1,"likely mutator, not used",non,SPC97,,100.00%,1.14%,
L048,2,1,"likely mutator, not used",prom,CCA1,78,100.00%,1.32%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",complex-non,POL3,,100.00%,0.88%,
L048,2,1,"likely mutator, not used",complex-non,POL3,,100.00%,1.05%,
L048,2,1,"likely mutator, not used",non,TEL2,,100.00%,0.08%,
L048,2,1,"likely mutator, not used",syn,TRA1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,AFI1,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",prom,RRN3,239,100.00%,0.12%,
L048,2,1,"likely mutator, not used",prom,YDR387C,25,100.00%,0.11%,
L048,2,1,"likely mutator, not used",prom,EMP46,76,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,ECM30,,100.00%,0.10%,
L048,2,1,"likely mutator, not used",non,KAP122,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",intergenic,none,,100.00%,0.10%,
L048,2,1,"likely mutator, not used",non,YPL150W,,100.00%,0.62%,
L048,2,1,"likely mutator, not used",stop,REF2,,100.00%,0.00%,
L048,2,1,"likely mutator, not used",non,CHK1,,100.00%,0.00%,
L048,3,1,,intergenic,none,,100.00%,0.00%,
L048,3,1,,non,MEC1,,100.00%,0.07%,
L048,3,1,,syn,RTS1,,100.00%,0.09%,
L048,3,1,,non,CSI1,,100.00%,0.00%,
L048,3,1,,intergenic,none,,100.00%,0.00%,
L048,3,1,,non,SER1,,100.00%,0.00%,
L048,3,1,,non,RIB2,,95.50%,0.11%,
L048,3,1,,non,PSR2,,100.00%,0.49%,
L048,3,1,,syn,YML096W,,100.00%,0.00%,
L048,3,1,,intergenic,none,,100.00%,0.09%,
L048,3,1,,prom,UTP20,59,100.00%,0.00%,
L048,3,1,,syn,ATG29,,100.00%,0.00%,
L048,3,1,,intergenic,none,,100.00%,0.00%,
L048,3,1,,prom,YKL162C-A,219,100.00%,0.10%,
L048,3,1,,syn,SLA2,,100.00%,0.00%,
L048,3,1,,non,OCA4,,100.00%,0.00%,
L048,3,1,,prom,ARB1,69,100.00%,0.00%,
L048,3,1,,non,TAF4,,100.00%,0.00%,
L048,3,1,,non,IRA1,,100.00%,0.19%,
L048,3,1,,non,EXO1,,100.00%,0.15%,
L048,3,1,,intergenic,none,,100.00%,0.15%,
L048,3,1,,complex-frame,ACE2,,100.00%,0.09%,
L048,3,1,,complex-frame,ACE2,,100.00%,0.16%,
L048,3,1,,complex-prom,RPL11B,223,100.00%,0.85%,
L048,3,1,,complex-prom,RPL11B,226,100.00%,0.75%,
L048,5,1,,non,YOR060C,,100.00%,0.07%,
L048,5,1,,intergenic,none,,100.00%,0.00%,
L048,5,1,,intergenic,none,,100.00%,0.00%,
L048,5,1,,non,PSD2,,100.00%,1.18%,
L048,5,1,,intergenic,none,,100.00%,0.00%,
L048,5,1,,prom,VPS71,412,86.70%,0.33%,
L048,5,1,,frame,SFL1,,100.00%,0.00%,
L048,5,1,,non,ACE2,,92.30%,0.07%,
L048,5,1,,non,SAF1,,95.20%,0.16%,
L048,6,1,,non,PET111,,100.00%,0.00%,
L048,6,1,,intergenic,none,,100.00%,0.00%,
L048,6,1,,prom,MSS1,244,100.00%,0.00%,
L048,6,1,,intergenic,none,,100.00%,3.23%,
L048,6,1,,prom,APC5,162,100.00%,0.00%,
L048,6,1,,intergenic,none,,100.00%,0.00%,
L048,6,1,,complex-non,MDM1,,100.00%,0.00%,
L048,6,1,,complex-non,MDM1,,100.00%,0.00%,
L048,6,1,,intergenic,none,,100.00%,0.00%,
L048,6,1,,syn,CMK2,,100.00%,0.11%,
L048,6,1,,non,ECM21,,100.00%,0.15%,
L048,6,1,,syn,YCR016W,,100.00%,0.00%,
L048,6,1,,non,MUS81,,100.00%,0.00%,
L048,6,1,,intron,GLC7,,100.00%,0.55%,
L048,6,1,,syn,DRS2,,100.00%,0.00%,
L048,6,1,,non,YSP1,,100.00%,0.00%,
L048,6,1,,syn,PIG2,,100.00%,0.00%,
L048,6,1,,non,PTR2,,100.00%,0.07%,
L048,6,1,,syn,YLR287C,,100.00%,0.00%,
L048,6,1,,prom,SAP30,153,100.00%,0.08%,
L048,6,1,,non,BRR6,,100.00%,0.08%,
L048,6,1,,prom,SUB1,310,100.00%,0.00%,
L048,6,1,,syn,RPO41,,100.00%,0.09%,
L048,6,1,,syn,PDE2,,100.00%,0.00%,
L048,6,1,,intron,RPS9A,,100.00%,0.10%,
L048,7,0,,intergenic,none,,100.00%,0.00%,
L048,7,0,,syn,ECM18,,100.00%,0.37%,
L048,7,0,,stop,IRC8,,100.00%,0.15%,
L048,7,0,,prom,AEP1,57,100.00%,0.12%,
L048,7,0,,complex-stop,RGT2,,100.00%,0.35%,
L048,7,0,,complex-stop,RGT2,,100.00%,0.14%,
L048,7,1,,intergenic,none,,100.00%,0.14%,
L048,7,1,,non,URA2,,100.00%,0.16%,
L048,7,2,not used,syn,RLM1,,100.00%,0.95%,
L048,7,2,not used,non,MCX1,,100.00%,0.38%,
L048,7,2,not used,non,HXK1,,100.00%,0.38%,
L048,7,2,not used,syn,IMP3,,100.00%,0.00%,
L048,7,2,not used,non,YMR086W,,100.00%,0.18%,
L048,7,2,not used,non,SFB2,,100.00%,0.08%,
L048,7,2,not used,non,MMS1,,100.00%,0.18%,
L048,9,0,,frame,PSR2,,87.50%,0.00%,
L048,9,0,,prom,RSM19,87,64.30%,0.43%,
L048,9,0,,non,SUP35,,100.00%,0.21%,
L048,9,0,,syn,MAP1,,100.00%,0.07%,
L048,9,0,,non,DPM1,,100.00%,0.31%,
L048,9,1,,non,YMR244W,,86.70%,0.45%,
L048,9,1,,non,NUP85,,64.70%,0.31%,
L048,9,1,,syn,YKR015C,,100.00%,0.22%,
L048,9,1,,non,IRA2,,100.00%,0.32%,
L048,9,2,not used,intergenic,none,,71.40%,0.24%,
L048,9,2,not used,non,UBP7,,83.30%,0.09%,
L048,9,2,not used,non,DSE3,,100.00%,0.09%,
L048,10,2,not used,prom,SMF1,332,100.00%,0.16%,
L048,10,2,not used,non,ATG11,,100.00%,0.55%,
L048,10,2,not used,complex-non,RPL2A,,100.00%,0.00%,
L048,10,2,not used,complex-non,RPL2A,,100.00%,0.31%,
L048,10,2,not used,syn,AGA2,,100.00%,0.15%,
L048,10,2,not used,syn,TTI2,,100.00%,0.22%,
L048,10,2,not used,prom,PTM1,316,100.00%,0.25%,
L048,10,2,not used,non,PAU4,,64.70%,0.15%,
L048,10,2,not used,non,YMR226C,,100.00%,0.37%,
L048,10,2,not used,non,TEL1,,100.00%,0.07%,
L048,10,2,not used,intergenic,none,,100.00%,0.71%,
L048,11,1,"likely mutator, not used",stop,ACE2,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,ADO1,,100.00%,0.06%,
L048,11,1,"likely mutator, not used",non,MTW1,,100.00%,0.09%,
L048,11,1,"likely mutator, not used",non,MAG1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",syn,APL6,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,RPB11,356,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,RPL32,82,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,YNG2,176,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,DFG10,151,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,PRS4,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,YAL018C,,100.00%,0.08%,
L048,11,1,"likely mutator, not used",non,BNR1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",syn,IST2,,100.00%,0.10%,
L048,11,1,"likely mutator, not used",non,RPS24B,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,YLF2,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,WTM1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,CHS6,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",prom,COX5B,259,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,MLH3,353,100.00%,0.09%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.10%,
L048,11,1,"likely mutator, not used",non,SHE9,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,IRC24,86,100.00%,0.09%,
L048,11,1,"likely mutator, not used",prom,RPB5,190,100.00%,0.00%,
L048,11,1,"likely mutator, not used",syn,MRL1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,YEF3,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,CDC53,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,YDR306C,280,100.00%,0.00%,
L048,11,1,"likely mutator, not used",stop,RIF1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,ORC5,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,YFL063W,326,85.70%,3.58%,
L048,11,1,"likely mutator, not used",non,BPH1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,YLR132C,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,ECM27,,100.00%,0.15%,
L048,11,1,"likely mutator, not used",non,PRP45,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,UBP5,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",syn,YTA7,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,TSR3,142,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,CDC27,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",syn,TRA1,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",syn,SEC17,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",prom,CCT2,81,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,BMS1,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",non,RAD16,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",stop,YSC84,,100.00%,0.10%,
L048,11,1,"likely mutator, not used",prom,RFM1,224,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,LAS21,,100.00%,0.07%,
L048,11,1,"likely mutator, not used",non,PNG1,,100.00%,0.09%,
L048,11,1,"likely mutator, not used",complex-intergenic,none,,100.00%,0.09%,
L048,11,1,"likely mutator, not used",complex-intergenic,none,,100.00%,0.09%,
L048,11,1,"likely mutator, not used",complex-intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,IZH1,,100.00%,0.08%,
L048,11,1,"likely mutator, not used",prom,SSH4,29,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,QCR2,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",intergenic,none,,100.00%,0.00%,
L048,11,1,"likely mutator, not used",non,PRC1,,100.00%,0.19%,
L048,11,1,"likely mutator, not used",prom,CPR8,245,100.00%,0.00%,
L048,12,1,,frame,ACE2,,100.00%,0.11%,
L048,12,1,,non,UBP2,,100.00%,0.08%,
L048,12,1,,intergenic,none,,100.00%,3.24%,
L048,12,1,,intergenic,none,,100.00%,0.00%,
L048,12,1,,intergenic,none,,100.00%,0.00%,
L048,12,1,,intergenic,none,,100.00%,2.42%,
L048,12,1,,prom,RAD55,204,100.00%,0.00%,
L048,12,1,,non,YOR390W,,100.00%,0.00%,
L048,12,1,,syn,YGL036W,,100.00%,0.00%,
L048,12,1,,intergenic,none,,100.00%,0.00%,
L048,12,1,,intergenic,none,,100.00%,0.00%,
L048,12,1,,non,MUP3,,100.00%,0.00%,
L048,12,1,,prom,EPS1,333,100.00%,0.09%,
L048,12,1,,syn,YMR185W,,100.00%,0.00%,
L048,12,1,,stop,EGT2,,97.10%,0.56%,
L048,12,1,,non,PIN4,,100.00%,0.48%,
L048,12,1,,prom,STM1,161,100.00%,0.00%,
L048,12,1,,non,SMP3,,100.00%,0.00%,
L048,12,1,,prom,MBR1,256,100.00%,0.24%,
L048,12,1,,prom,YER085C,163,100.00%,0.00%,
L048,12,1,,prom,YJR096W,283,100.00%,0.00%,
L048,12,1,,intergenic,none,,100.00%,0.00%,
L048,12,1,,syn,PFK1,,100.00%,0.84%,
L098,0,0,,prom,UBP3,8,100.00%,0.00%,
L098,0,0,,non,TUP1,,100.00%,0.38%,
L098,0,0,,syn,CRZ1,,100.00%,0.08%,
L098,1,1,,non,HSL7,,100.00%,1.05%,
L098,2,1,,non,SEC27,,95.80%,0.09%,
L098,2,1,,prom,YNL319W,64,100.00%,0.00%,
L098,2,1,,non,FUN12,,100.00%,0.00%,
L098,2,1,,intergenic,none,,100.00%,0.10%,
L098,2,1,,intergenic,none,,100.00%,0.00%,
L098,2,1,,complex-frame,KRE9,,100.00%,0.00%,
L098,2,1,,complex-frame,KRE9,,100.00%,0.15%,
L098,2,1,,non,ORC1,,100.00%,0.07%,
L098,2,1,,intergenic,none,,100.00%,0.00%,
L098,2,1,,intergenic,none,,100.00%,0.10%,
L098,4,1,,frame,ECM21,,100.00%,0.00%,
L098,4,1,,syn,RAD27,,100.00%,0.00%,
L098,4,1,,prom,OGG1,96,100.00%,0.00%,
L098,4,1,,intergenic,none,,100.00%,0.08%,
L098,4,1,,prom,PRR2,241,100.00%,0.79%,
L098,4,1,,syn,RED1,,100.00%,0.00%,
L098,4,1,,prom,RIM11,140,100.00%,0.00%,
L098,4,1,,intergenic,none,,100.00%,0.08%,
L098,4,1,,intergenic,none,,100.00%,0.00%,
L098,4,1,,non,SSZ1,,100.00%,0.36%,
L098,4,1,,non,CHD1,,100.00%,0.50%,
L098,4,1,,non,TEL1,,100.00%,0.00%,
L098,4,1,,non,RRP14,,100.00%,0.56%,
L098,4,1,,prom,GLO1,164,100.00%,0.00%,
L098,4,1,,syn,CYK3,,100.00%,0.24%,
L098,4,1,,non,ROM2,,100.00%,0.00%,
L098,5,0,,stop,IRA1,,100.00%,0.15%,
L098,5,1,,non,TRM3,,88.90%,0.66%,
L098,5,1,,frame,SLA1,,100.00%,0.00%,
L098,5,1,,syn,HOR2,,100.00%,0.42%,
L098,5,1,,non,YDR336W,,100.00%,0.31%,
L098,5,1,,complex-intergenic,none,,100.00%,0.00%,
L098,5,1,,complex-intergenic,none,,92.30%,0.46%,
L098,5,1,,complex-intergenic,none,,85.70%,0.08%,
L098,5,1,,complex-intergenic,none,,85.70%,0.16%,
L098,5,2,not used,non,YUR1,,100.00%,0.52%,
L098,5,2,not used,non,BUD14,,100.00%,0.38%,
L098,5,2,not used,syn,SOV1,,100.00%,0.09%,
L098,6,1,,non,CSI1,,100.00%,0.00%,
L098,6,1,,prom,KEX2,97,100.00%,0.30%,
L098,6,1,,prom,DSF1,76,100.00%,0.00%,
L098,6,1,,complex-intergenic,none,,100.00%,0.09%,
L098,6,1,,complex-intergenic,none,,100.00%,0.10%,
L098,6,1,,non,NUP82,,100.00%,0.10%,
L098,6,1,,intergenic,none,,100.00%,0.00%,
