gene,details,A0 F0 I1 R1,A7 F90 I0 R1,A7 F90 I0 R2,A7 F90 I0 R3,A7 F90 I1 R1,A7 F90 I2 R1,A7 F90 I3 R1,A7 F90 I4 R1,A7 F90 I5 R1,A7 F90 I6 R1,A7 F90 I7 R1,A7 F90 I8 R1,A7 F90 I9 R1,A8 F91 I0 R1,A8 F91 I0 R2,A8 F91 I1 R1,A8 F91 I2 R1,A8 F91 I3 R1,A8 F91 I4 R1,A8 F91 I5 R1,A8 F91 I6 R1,A8 F91 I7 R1,A8 F91 I8 R1,A8 F91 I9 R1,A8 F91 I10 R1,A8 F91 I11 R1,A9 F92 I0 R1,A9 F92 I0 R2,A9 F92 I1 R1,A9 F92 I2 R1,A9 F92 I3 R1,A9 F92 I4 R1,A9 F92 I5 R1,A9 F92 I6 R1,A9 F92 I7 R1,A9 F92 I8 R1
proQ,coding (222‑425/699 nt),,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,
rpoS,coding (313/993 nt),,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
gcvT,coding (1061‑1064/1095 nt),,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ybcK,coding (142‑145/1527 nt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
yiiX,T106T (ACG→ACA),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
uidA,I123L (ATT→CTT),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lysQ, nadA",intergenic (+105/‑328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
yjgN,S259A (TCT→GCT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"yeeJ, yeeL",intergenic (+167/+92),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptsP,coding (708/2247 nt),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
sapA,L14R (CTT→CGT),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,
mhpT,G360R (GGG→AGG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
