Gene,Details,Population,Flask 23,Flask 58,Flask 133
hns/tdk,intergenic,ALE5,0,0,0
hns/tdk,intergenic,ALE5,0,0,1
ycjV,pseudogene (664/957 nt),ALE5,0,0,0
rhsE,V429A (GTT?GCT),ALE5,0,0,0
rhsE,F431L (TTT?CTT),ALE5,0,0,0
rhsE,Y432Y (TAC?TAT),ALE5,0,0,0
rhsE,G438G (GGC?GGA),ALE5,0,0,0
rhsE,L443L (CTC?CTT),ALE5,1,0,0
lsrF,coding (49?53/876 nt),ALE5,0,0,0
pscG,coding (778?783/939 nt),ALE5,0,0,0
yfdI,coding (1274/1332 nt),ALE5,0,0,0
yfjR,coding (32/702 nt),ALE5,0,0,0
ygaY/ygaZ,intergenic,ALE5,0,0,0
barA,coding (2425/2757 nt),ALE5,0,0,0
ptsP,Q538L (CAG?CTG) ,ALE5,0,0,0
nirC,coding (414?426/807 nt),ALE5,0,0,0
pyrE/rph,intergenic,ALE5,0,0,0
pyrE/rph,intergenic,ALE5,0,1,1
pyrE/rph,intergenic,ALE5,0,0,0
pyrE/rph,intergenic,ALE5,1,0,0
rph,E205* (GAA?TAA) ,ALE5,0,0,0
emrD,E126K (GAA?AAA) ,ALE5,0,0,0
rffD,coding (771/1263 nt),ALE5,0,0,0
yihY,coding (627?638/873 nt),ALE5,1,0,0
rpoB,T657I (ACC?ATC) ,ALE5,0,0,0
rpoB,G1189C (GGT?TGT) ,ALE5,0,1,1
rpoC,P64L (CCG?CTG) ,ALE5,0,0,0
rpoC,coding (749/4224 nt),ALE5,0,0,0
yjjK,P82P (CCG?CCA) ,ALE5,0,0,0
mrdA,P481T (CCT?ACT) ,ALE5,0,0,1
murC,V13L (GTG?TTG) ,ALE6,0,0,0
pgaA,Q199* (CAA?TAA) ,ALE6,0,0,0
lolB/hemA,intergenic,ALE6,0,0,1
hns/tdk,intergenic,ALE6,0,0,1
hns/tdk,intergenic,ALE6,0,0,0
hns/tdk,intergenic,ALE6,0,0,0
hns/tdk,intergenic,ALE6,0,0,0
ycjV,pseudogene (664/957 nt),ALE6,0,0,1
rhsE,V429A (GTT?GCT),ALE6,0,0,1
rhsE,F431L (TTT?CTT),ALE6,0,0,1
rhsE,Y432Y (TAC?TAT),ALE6,0,0,1
rhsE,G438G (GGC?GGA),ALE6,0,0,1
rhsE,L443L (CTC?CTT),ALE6,0,0,1
lsrF,coding (49?53/876 nt),ALE6,0,1,0
pscG,coding (778?783/939 nt),ALE6,0,0,0
yfdI,coding (1274/1332 nt),ALE6,0,1,0
yfjR,coding (32/702 nt),ALE6,0,0,1
ygaY/ygaZ,intergenic,ALE6,0,0,0
barA,coding (2425/2757 nt),ALE6,0,0,0
ptsP,Q538L (CAG?CTG) ,ALE6,0,0,0
nirC,coding (414?426/807 nt),ALE6,0,0,0
pyrE/rph,intergenic,ALE6,0,0,0
pyrE/rph,intergenic,ALE6,0,0,0
pyrE/rph,intergenic,ALE6,0,0,0
pyrE/rph,intergenic,ALE6,0,0,0
rph,E205* (GAA?TAA) ,ALE6,0,0,0
emrD,E126K (GAA?AAA) ,ALE6,0,0,0
rffD,coding (771/1263 nt),ALE6,0,0,0
yihY,coding (627?638/873 nt),ALE6,0,0,0
rpoB,T657I (ACC?ATC) ,ALE6,0,0,0
rpoB,G1189C (GGT?TGT) ,ALE6,1,0,0
rpoC,P64L (CCG?CTG) ,ALE6,0,1,0
rpoC,coding (749/4224 nt),ALE6,0,0,1
yjjK,P82P (CCG?CCA) ,ALE6,0,0,0
mrdA,P481T (CCT?ACT) ,ALE6,0,0,0
