population,frequency,gene,mutation_annotations,mutation_position,mutation,mutation_locations,mutation_chromosome
Evo04pgiEvo04EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo05EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo06EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04pgiEvo08EP,1,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195528,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.513,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195443,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.475,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195455,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.486,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195468,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.494,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195470,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.448,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195500,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.448,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195503,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.448,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195506,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.361,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195515,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.386,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195527,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.365,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195539,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.319,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195548,SNP,cryptic prophage e14,1
Evo04tpiAEvo01EP,0.281,icd,e14 prophage; isocitrate dehydrogenase; specific for NADP+,1195575,SNP,cryptic prophage e14,1
Evo04Evo01EP,0.71,ilvG,NA,3949557,DEL,coding,1
Evo04gndEvo03EP,0.92,ilvG,NA,3949755,DEL,coding,1
Evo04sdhCBEvo02EP,0.416,ilvG,NA,3949584,SNP,coding,1
Evo04gndEvo01EP,1,ilvL,ilvG operon leader peptide,3948365,DEL,coding,1
Evo04gndEvo02EP,0.35,ilvL;ilvX,ilvG operon leader peptide;hypothetical protein,3948486,INS,intergenic;intergenic,1
Evo04Evo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo03EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo04EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo06EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo07EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04pgiEvo08EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04ptsHIcrrEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04ptsHIcrrEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04ptsHIcrrEvo03EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04ptsHIcrrEvo04EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo01EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04sdhCBEvo03EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04tpiAEvo02EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04tpiAEvo04EP,1,insH1,IS5 transposase and trans-activator,2064489,SNP,coding,1
Evo04gndEvo01EP,0.113,insL1;entD,IS186 transposase;phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,608575,SNP,intergenic;intergenic,1
Evo04gndEvo01EP,0.126,insL1;entD,IS186 transposase;phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,608577,SNP,intergenic;intergenic,1
Evo04tpiAEvo04EP,1,leuV;leuP,NA,4604190,DEL,intergenic;intergenic,1
Evo04ptsHIcrrEvo01EP,0.555,lsrK,autoinducer-2 (AI-2) kinase,1596928,SNP,coding,1
Evo04pgiEvo06EP,1,malT,DNA-binding transcriptional activator for the mal regulon and maltotriose-ATP-binding protein,3551125,MOB,coding,1
Evo04pgiEvo03EP,1,marC;marR,inner membrane protein; UPF0056 family;DNA-binding transcriptional repressor of multiple antibiotic resistance,1617104,DEL,intergenic;intergenic,1
Evo04tpiAEvo01EP,0.7969,menC,O-succinylbenzoyl-CoA synthase,2373850,MOB,coding,1
Evo04tpiAEvo03EP,0.469,menC,O-succinylbenzoyl-CoA synthase,2373850,MOB,coding,1
Evo04tpiAEvo03EP,0.1495,menE,O-succinylbenzoate-CoA ligase,2372971,MOB,coding,1
Evo04sdhCBEvo01EP,0.435,mrdB,cell wall shape-determining protein,665079,SNP,coding,1
Evo04tpiAEvo04EP,1,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3334172,DEL,coding,1
Evo04tpiAEvo01EP,0.465,nagA,N-acetylglucosamine-6-phosphate deacetylase,701289,SNP,coding,1
Evo04tpiAEvo03EP,0.257,nagA,N-acetylglucosamine-6-phosphate deacetylase,701529,SNP,coding,1
Evo04tpiAEvo03EP,0.348,nagA,N-acetylglucosamine-6-phosphate deacetylase,701553,DEL,coding,1
Evo04tpiAEvo03EP,0.168,nagA,N-acetylglucosamine-6-phosphate deacetylase,701613,SNP,coding,1
Evo04pgiEvo04EP,0.27,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,699923,DEL,coding,1
Evo04ptsHIcrrEvo04EP,1,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,700171,SNP,coding,1
Evo04tpiAEvo01EP,0.129,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,700621,SNP,coding,1
Evo04tpiAEvo02EP,0.937,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,700601,INS,coding,1
Evo04tpiAEvo04EP,0.9534,nagC,DNA-binding transcriptional dual regulator; repressor of N-acetylglucosamine,699820,MOB,coding,1
Evo04tpiAEvo02EP,1,nagE,fused N-acetyl glucosamine specific PTS enzyme: IIC; IIB; and IIA components,703231,SNP,coding,1
Evo04tpiAEvo04EP,1,nagE,fused N-acetyl glucosamine specific PTS enzyme: IIC; IIB; and IIA components,703306,SNP,coding,1
Evo04sdhCBEvo01EP,0.121,nanT,sialic acid transporter,3370206,SNP,coding,1
Evo04tpiAEvo01EP,1,nemR,transcriptional repressor for the nem operon; NEM-inactivated,1724531,DEL,coding,1
Evo04tpiAEvo02EP,1,nemR,transcriptional repressor for the nem operon; NEM-inactivated,1724193,SNP,coding,1
Evo04tpiAEvo04EP,1,nemR,transcriptional repressor for the nem operon; NEM-inactivated,1724414,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.9,nlpI,lipoprotein involved in osmotic sensitivity and filamentation,3306126,SNP,coding,1
Evo04ptsHIcrrEvo02EP,0.9949,nudE;yrfF,adenosine nucleotide hydrolase; substrates include Ap3A; Ap2A; ADP-ribose; NADH;inner membrane protein,3524471,MOB,intergenic;intergenic,1
Evo04ptsHIcrrEvo04EP,0.9944,nudE;yrfF,adenosine nucleotide hydrolase; substrates include Ap3A; Ap2A; ADP-ribose; NADH;inner membrane protein,3524471,MOB,intergenic;intergenic,1
Evo04pgiEvo07EP,0.3209,opgG,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein,1109382,MOB,coding,1
Evo04pgiEvo07EP,0.112,opgH,membrane glycosyltransferase,1111131,SNP,coding,1
Evo04tpiAEvo01EP,0.529,phoB,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),416615,SNP,coding,1
Evo04tpiAEvo02EP,1,phoB,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),416592,DEL,coding,1
Evo04tpiAEvo03EP,1,phoB,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),416480,DEL,coding,1
Evo04tpiAEvo03EP,0.613,phoB,DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),416975,DEL,coding,1
Evo04tpiAEvo01EP,0.532,phoR,sensory histidine kinase in two-component regulatory system with PhoB,417652,DEL,coding,1
Evo04tpiAEvo04EP,1,phoR,sensory histidine kinase in two-component regulatory system with PhoB,418184,DEL,coding,1
Evo04gndEvo01EP,1,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1675937,SNP,intergenic;intergenic,1
Evo04gndEvo02EP,0.637,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1675937,SNP,intergenic;intergenic,1
Evo04gndEvo03EP,1,pntA;ydgH,pyridine nucleotide transhydrogenase; alpha subunit;hypothetical protein,1676048,SNP,intergenic;intergenic,1
Evo04pgiEvo04EP,1,pntB,pyridine nucleotide transhydrogenase; beta subunit,1673688,DEL,coding,1
Evo04pgiEvo03EP,0.7456,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047882,MOB,intergenic;intergenic,1
Evo04pgiEvo04EP,1,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047909,SNP,intergenic;intergenic,1
Evo04pgiEvo05EP,0.9206,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047914,MOB,intergenic;intergenic,1
Evo04pgiEvo08EP,0.2,polA;spf,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,4047914,MOB,intergenic;intergenic,1
Evo04pgiEvo01EP,1,prkB,putative phosphoribulokinase,3482563,DEL,coding,1
Evo04pgiEvo02EP,0.1157,prpR;prpB,propionate catabolism operon regulatory protein;2-methylisocitrate lyase,347682,MOB,intergenic;intergenic,1
Evo04tpiAEvo01EP,1,pstA,phosphate transporter subunit,3907335,DEL,coding,1
Evo04tpiAEvo02EP,1,pstA,phosphate transporter subunit,3907335,DEL,coding,1
Evo04tpiAEvo03EP,1,pstA,phosphate transporter subunit,3907335,DEL,coding,1
Evo04tpiAEvo04EP,1,pstA,phosphate transporter subunit,3907335,DEL,coding,1
Evo04pgiEvo01EP,1,pta,phosphate acetyltransferase,2412802,DEL,coding,1
Evo04tpiAEvo01EP,1,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,1157607,SNP,coding,1
Evo04tpiAEvo03EP,1,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,1158505,INS,coding,1
Evo04ptsHIcrrEvo03EP,0.143,ptsP,fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein,2965555,SNP,coding,1
Evo04tpiAEvo02EP,0.9751,pykF,pyruvate kinase I,1753779,MOB,coding,1
Evo04tpiAEvo03EP,0.148,pykF,pyruvate kinase I,1755004,DEL,coding,1
Evo04tpiAEvo04EP,1,pykF,pyruvate kinase I,1754398,SNP,coding,1
Evo04pgiEvo04EP,0.102,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),61802,SNP,coding,1
Evo04pgiEvo04EP,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62752,INS,coding,1
Evo04pgiEvo06EP,1,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62820,DEL,coding,1
Evo04pgiEvo06EP,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62830,DEL,coding,1
Evo04pgiEvo06EP,0.845,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62831,DEL,coding,1
Evo04pgiEvo06EP,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62832,DEL,coding,1
Evo04pgiEvo06EP,0.859,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62833,DEL,coding,1
Evo04pgiEvo06EP,0.141,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62834,INS,coding,1
Evo04pgiEvo06EP,0.141,rapA,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),62835,INS,coding,1
Evo04ptsHIcrrEvo03EP,1,rbbA,fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein,3626546,DEL,coding,1
Evo04ptsHIcrrEvo02EP,1,rcsA,DNA-binding transcriptional activator; co-regulator with RcsB,2022179,MOB,coding,1
Evo04ptsHIcrrEvo01EP,1,rcsB,DNA-binding response regulator in two-component regulatory system with RcsC and YojN,2314415,SNP,coding,1
Evo04ptsHIcrrEvo01EP,1,rcsB,DNA-binding response regulator in two-component regulatory system with RcsC and YojN,2314782,SNP,coding,1
Evo04ptsHIcrrEvo03EP,1,rcsB,DNA-binding response regulator in two-component regulatory system with RcsC and YojN,2314703,SNP,coding,1
Evo04ptsHIcrrEvo04EP,0.991,rcsD,phosphotransfer intermediate protein in two-component regulatory system with RcsBC,2311562,MOB,coding,1
Evo04gndEvo02EP,0.158,relA,(p)ppGpp synthetase I/GTP pyrophosphokinase,2910658,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.157,rhsB,rhsB element core protein RshB,3617901,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.174,rhsB,rhsB element core protein RshB,3617905,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.143,rhsB,rhsB element core protein RshB,3617906,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.143,rhsB,rhsB element core protein RshB,3617909,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.146,rhsB,rhsB element core protein RshB,3617910,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.143,rhsB,rhsB element core protein RshB,3617914,SNP,coding,1
Evo04ptsHIcrrEvo01EP,0.179,rhsB,rhsB element core protein RshB,3617938,SNP,coding,1
Evo04Evo02EP,1,rplL,50S ribosomal subunit protein L7/L12,4178684,INS,coding,1
Evo04tpiAEvo03EP,0.108,rpoB,RNA polymerase; beta subunit,4179874,SNP,coding,1
Evo04pgiEvo08EP,1,rpoC,RNA polymerase; beta prime subunit,4184109,SNP,coding,1
Evo04ptsHIcrrEvo03EP,0.372,rpoC,RNA polymerase; beta prime subunit,4184285,SNP,coding,1
Evo04tpiAEvo01EP,0.125,rpoC,RNA polymerase; beta prime subunit,4187531,INS,coding,1
Evo04tpiAEvo04EP,1,rpoC,RNA polymerase; beta prime subunit,4187506,INS,coding,1
Evo04tpiAEvo04EP,0.124,rpoC,RNA polymerase; beta prime subunit,4187506,INS,coding,1
Evo04tpiAEvo04EP,0.124,rpoC,RNA polymerase; beta prime subunit,4187506,INS,coding,1
Evo04tpiAEvo04EP,0.658,rpoC,RNA polymerase; beta prime subunit,4187535,INS,coding,1
Evo04pgiEvo01EP,0.517,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211456,SNP,coding,1
Evo04pgiEvo02EP,0.165,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211814,SNP,coding,1
Evo04pgiEvo03EP,0.431,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211448,SNP,coding,1
Evo04pgiEvo04EP,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3212437,SNP,coding,1
Evo04pgiEvo05EP,1,rpoD,RNA polymerase; sigma 70 (sigma D) factor,3211592,DEL,coding,1
Evo04gndEvo02EP,0.257,rpsA,30S ribosomal subunit protein S1,962205,SNP,coding,1
Evo04tpiAEvo01EP,1,rrfB,5S ribosomal RNA of rrnB operon,4169671,SNP,coding,1
Evo04tpiAEvo02EP,1,rrfB,5S ribosomal RNA of rrnB operon,4169671,SNP,coding,1
Evo04tpiAEvo03EP,1,rrfB,5S ribosomal RNA of rrnB operon,4169671,SNP,coding,1
Evo04tpiAEvo04EP,1,rrfB,5S ribosomal RNA of rrnB operon,4169671,SNP,coding,1
Evo04tpiAEvo04EP,0.237,rrlB,23S ribosomal RNA of rrnB operon,4169250,SNP,coding,1
Evo04tpiAEvo04EP,0.244,rrlB,23S ribosomal RNA of rrnB operon,4169251,SNP,coding,1
Evo04pgiEvo01EP,1,rseC,RseC protein involved in reduction of the SoxR iron-sulfur cluster,2705580,DEL,coding,1
Evo04Evo01EP,0.118,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706868,SNP,coding,1
Evo04gndEvo03EP,0.123,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706954,SNP,coding,1
Evo04gndEvo03EP,0.101,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706982,SNP,coding,1
Evo04pgiEvo04EP,0.119,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706871,SNP,coding,1
Evo04pgiEvo04EP,0.116,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706954,SNP,coding,1
Evo04ptsHIcrrEvo02EP,0.118,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706868,SNP,coding,1
Evo04ptsHIcrrEvo02EP,0.154,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706871,SNP,coding,1
Evo04tpiAEvo02EP,0.104,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706868,SNP,coding,1
Evo04tpiAEvo02EP,0.11,rsxC,electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase,1706871,SNP,coding,1
Evo04tpiAEvo03EP,1,sbcD;phoB,exonuclease; dsDNA; ATP-dependent;DNA-binding response regulator in two-component regulatory system with PhoR (or CreC),416288,DEL,intergenic;intergenic,1
Evo04pgiEvo02EP,1,soxR,DNA-binding transcriptional dual regulator; Fe-S center for redox-sensing,4275843,SNP,coding,1
Evo04pgiEvo01EP,0.9941,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047945,MOB,coding,1
Evo04pgiEvo02EP,0.9942,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047935,MOB,coding,1
Evo04pgiEvo03EP,0.133,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048013,DEL,coding,1
Evo04pgiEvo03EP,0.133,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048014,DEL,coding,1
Evo04pgiEvo03EP,0.133,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048015,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048016,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048017,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048018,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048019,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048020,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048021,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048022,DEL,coding,1
Evo04pgiEvo03EP,0.131,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048023,DEL,coding,1
Evo04pgiEvo03EP,0.129,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4048024,DEL,coding,1
Evo04pgiEvo06EP,0.9627,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047926,MOB,coding,1
Evo04pgiEvo08EP,0.9708,spf,Spot 42 sRNA antisense regulator of galK translation; Hfq-dependent,4047936,MOB,coding,1
Evo04pgiEvo07EP,1,sthA,pyridine nucleotide transhydrogenase; soluble,4158136,SNP,coding,1
