"selective_pressure","population","gene","frequency"
"HT","LK5-F10","RQC2",0.6
"HT","LK2-A10","RRP3",0.571428571
"HT","LK5-H12","RRP3",0.935483871
"HT","LK5-H12","RRP6",0.935483871
"HT","LK2-C05","RRP9",1
"HT","LK5-G01","RTC1",1
"HT","LK5-G01","RTC1",1
"HT","LK5-H12","RTT107",0.956521739
"HT","LK2-A10","RXT3",0.875
"HT","LK2-A10","RXT3",1
"HT","LK5-H02","RXT3",0.888888889
"HT","LK5-H02","SAC3",1
"HT","LK2-C05","SCJ1",1
"HT","LK5-H02","SDA1",0.848484848
"HT","LK2-D05","SDL1 blocked reading frame SGDS000001429",1
"HT","LK2-C09","SEC16",0.984375
"HT","LK2-A06","SEC28",1
"HT","LK5-G09","SEC8",1
"HT","LK6-A05","SET4",0.769230769
"HT","LK2-D09","SGDS000004648",1
"HT","LK2-D04","SGM1",1
"HT","LK6-A05","SHC1",1
"HT","LK6-A03","SHM2",1
"HT","LK5-F10","SHQ1",1
"HT","LK5-F10","SIN3",0.866666667
"HT","LK2-B04","SIR2",1
"HT","LK5-F05","SIR2",0.6
"HT","LK5-F07","SIR2",0.914893617
"HT","LK5-F08","SIR2",0.974358974
"HT","LK5-G09","SIR2",0.75
"HT","LK6-A07","SIR3",1
"HT","LK2-A11","SIR3",1
"HT","LK2-D05","SIR3",0.928571429
"HT","LK5-F07","SIR3",0.604651163
"HT","LK5-F07","SIR3",0.609756098
"HT","LK5-F07","SIR3",1
"HT","LK5-F08","SIR3",0.846153846
"HT","LK5-F08","SIR3",0.735294118
"HT","LK5-G01","SIR3",0.8
"HT","LK5-G03","SIR3",1
"HT","LK5-G09","SIR3",1
"HT","LK5-G11","SIR3",1
"HT","LK5-G11","SIR3",1
"HT","LK5-H07","SIR3",0.571428571
"HT","LK5-H07","SIR3",0.545454545
"HT","LK5-H08","SIR3",1
"HT","LK5-H12","SIR3",0.916666667
"HT","LK6-A03","SIR4",1
"HT","LK6-A05","SIR4",1
"HT","LK6-A07","SIR4",1
"HT","LK6-A07","SIR4",1
"HT","LK6-A07","SIR4",1
"HT","LK6-A07","SIR4",1
"HT","LK6-A07","SIR4",1
"HT","LK2-B04","SIR4",0.76
"HT","LK5-F08","SIR4",1
"HT","LK5-F10","SIR4",1
"HT","LK5-G01","SIR4",0.916666667
"HT","LK5-G03","SIR4",0.961538462
"HT","LK5-H04","SIR4",0.619047619
"HT","LK2-C05","SLN1",1
"HT","LK2-B07","SMP1",0.8
"HT","LK5-H08","SNU66",0.620689655
"HT","LK5-G01","SRB8",1
"HT","LK2-D04","SRM1",0.875
"HT","LK5-H07","SRO7",0.789473684
"HT","LK6-A07","SRS2",0.565217391
"HT","LK6-A07","SRS2",1
"HT","LK5-H08","SRS2",0.785714286
"HT","LK5-H02","SSH4",0.833333333
"HT","LK2-A06","STE12",1
"HT","LK6-A05","STE5",0.852941176
"HT","LK6-A03","STE7",1
"HT","LK2-B07","STI1",0.538461538
"HT","LK5-H04","SUM1",1
"HT","LK2-C05","SWP82",1
"HT","LK6-A07","SXM1",1
"HT","LK5-F08","SYF1",0.555555556
"HT","LK2-A10","TDH1",0.52173913
"HT","LK2-E08","TGL4",1
"HT","LK2-A06","TIM44",0.941176471
"HT","LK5-H12","TOS8",0.875
"HT","LK2-C06","TPC1",1
"HT","LK5-H04","TRK1",1
"HT","LK6-A05","TRM732",1
"HT","LK2-E08","TSC11",1
"HT","LK6-A07","TSR1",0.909090909
"HT","LK5-G11","TWF1",1
"HT","LK2-D07","UBA2",1
"HT","LK5-H04","UBA2",1
"HT","LK6-A05","UBC9",1
"HT","LK2-D09","ULS1",0.870967742
"HT","LK2-A11","UME1",1
"HT","LK5-F08","UPS2",1
"HT","LK5-F08","UPS2",1
"HT","LK5-G01","URN1",1
"HT","LK6-A03","UTP20",1
"HT","LK2-A06","UTP20",1
"HT","LK2-A11","UTP20",1
"HT","LK2-C09","UTP20",0.8
"HT","LK2-C09","UTP20",1
"HT","LK2-D05","VAC7",1
"HT","LK2-B07","VAS1",0.611111111
"HT","LK2-E08","VIP1",1
"HT","LK2-A12","VPS4",1
"HT","LK2-E08","XRN1",1
"HT","LK5-H07","YBR241C",0.974358974
"HT","LK5-G09","YCR100C",0.923076923
"HT","LK6-A03","YCR101C",0.6
"HT","LK6-A03","YCT1",1
"HT","LK6-A03","YDL109C",0.916666667
"HT","LK5-H07","YEL057C",1
"HT","LK5-F08","YER186C",0.727272727
"HT","LK2-B04","YFR020W",1
"HT","LK5-H12","YHR097C",1
"HT","LK5-H12","YHR217C",0.808988764
"HT","LK5-F08","YJR027W",1
"HT","LK6-A03","YLR072W",1
"HT","LK2-A11","YLR072W",0.555555556
"HT","LK2-C05","YLR072W",1
"HT","LK2-D07","YLR278C",0.9
"HT","LK5-H07","YMR085W",0.933333333
"HT","LK6-A07","YND1",1
"HT","LK5-G03","YNL144C",1
"HT","LK5-G03","YNL144C",1
"HT","LK2-D05","YNL193W",0.565217391
"HT","LK5-G01","YOL166C",1
"HT","LK5-G01","YOL166C",1
"HT","LK2-D05","YOR093C",1
"HT","LK6-A05","YOR333C",0.936170213
"HT","LK2-E08","YPK9",0.636363636
"HT","LK2-E08","YPK9",1
"HT","LK5-G09","ZPS1",0.545454545
"HT","LK6-A07","ZRC1",1
"HT","LK5-H02","ZRT2",0.902439024
