Population,Gene,Details,Frequency
BHI1,Ecoli_contig00022_15245_15592,hypothetical protein,-7.15
BHI1,Ecoli_contig00070_10744_11364,YciO family,-4.08
BHI1,Ecoli_contig00017_36865_37785,Agmatinase (EC 3.5.3.11),-3.48
BHI1,Ecoli_contig00019_14091_14573,Uncharacterized protein YbeL / FIG002095: hypothetical protein,-5.00
BHI1,Ecoli_contig00039_29914_30978,Outer membrane protein A precursor,-0.93
BHI1,Ecoli_contig00018_10600_10809,Putative cytoplasmic protein,-3.55
BHI1,Ecoli_contig00039_21632_22045,"""Succinyl-CoA synthetase, alpha subunit-related enzymes""",-3.99
BHI1,Ecoli_contig00018_59647_59922,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),-3.11
BHI1,Ecoli_contig00058_19752_20045,Heat shock protein 60 family co-chaperone GroES,0.49
BHI1,Ecoli_contig00040_24114_24830,Aerobic respiration control protein arcA,-2.48
BHI1,Ecoli_contig00008_135347_135646,Integration host factor alpha subunit,-2.20
BHI1,Ecoli_contig00004_10511_11020,"""PTS system, glucose-specific IIA component (EC 2.7.1.69)""",-0.30
BHI1,Ecoli_contig00017_55807_56133,FIG002060: uncharacterized protein YggL,-4.88
BHI1,Ecoli_contig00004_124412_124747,"""Ferredoxin, 2Fe-2S""",-4.65
BHI1,Ecoli_contig00003_106892_107383,FIG001943: hypothetical protein YajQ,-2.95
BHI1,Ecoli_contig00041_36179_36688,Peptide deformylase (EC 3.5.1.88),-4.48
BHI1,Ecoli_contig00055_19384_19788,DNA-binding protein H-NS,-5.75
BHI1,Ecoli_contig00076_4276_4527,Protein yciN,-5.50
BHI1,Ecoli_contig00006_129169_129741,Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8),-4.33
BHI1,Ecoli_contig00021_674_859,Carbon storage regulator,-3.28
BHI1,Ecoli_contig00010_110642_111607,Thioredoxin reductase (EC 1.8.1.9),-3.80
BHI1,Ecoli_contig00002_70478_71362,Cytidine deaminase (EC 3.5.4.5),-10.34
BHI1,Ecoli_contig00012_51248_52201,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)""",-4.13
BHI1,Ecoli_contig00004_7086_8057,Cysteine synthase (EC 2.5.1.47),-0.38
BHI1,Ecoli_contig00046_20883_21671,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),-3.21
BHI1,Ecoli_contig00013_1438_2079,4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) / 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),-4.57
BHI1,Ecoli_contig00040_13434_15101,"""ABC transporter, ATP-binding protein""",-4.70
BHI1,Ecoli_contig00079_5225_5491,Cell division topological specificity factor MinE,-3.47
BHI1,Ecoli_contig00022_1882_2316,Transcriptional regulator SlyA,-6.64
BHI1,Ecoli_contig00067_9196_9813,2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21),-2.06
BHI1,Ecoli_contig00007_128045_128839,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),-4.87
BHI1,Ecoli_contig00011_65794_67014,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)""",-2.76
BHI1,Ecoli_contig00022_16869_17450,Superoxide dismutase [Fe] (EC 1.15.1.1),-0.45
BHI1,Ecoli_contig00010_25814_26560,"""Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2)""",-0.92
BHI1,Ecoli_contig00049_16500_18140,Phosphoglucomutase (EC 5.4.2.2),-3.25
BHI1,Ecoli_contig00009_92956_94254,Adenylosuccinate synthetase (EC 6.3.4.4),-3.50
BHI1,Ecoli_contig00025_44742_45692,Universal stress protein E,-3.87
BHI1,Ecoli_contig00001_224195_225358,NADPH-dependent broad range aldehyde dehydrogenase YqhD,-6.02
BHI1,Ecoli_contig00043_300_1154,2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),-2.57
BHI1,Ecoli_contig00079_4409_5221,Septum site-determining protein MinD,-3.03
BHI1,Ecoli_contig00011_79636_80418,Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1),-2.91
BHI1,Ecoli_contig00006_107825_108829,Tryptophanyl-tRNA synthetase (EC 6.1.1.2),-5.49
BHI1,Ecoli_contig00004_151826_153079,Serine hydroxymethyltransferase (EC 2.1.2.1),-1.37
BHI1,Ecoli_contig00009_20985_21446,Aspartate carbamoyltransferase regulatory chain (PyrI),-5.85
BHI1,Ecoli_contig00008_122244_123104,"""Fructosamine kinase family protein, At3g61080 homolog""",-4.45
BHI1,Ecoli_contig00018_25995_27539,"""2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)""",-4.77
BHI1,Ecoli_contig00051_5348_5926,Phosphoheptose isomerase 1 (EC 5.3.1.-),-2.87
BHI1,Ecoli_contig00004_64646_65359,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),-1.11
BHI1,Ecoli_contig00011_92755_93957,Acetate kinase (EC 2.7.2.1),-2.51
BHI1,Ecoli_contig00062_13108_13461,Putative ACR protein,-3.14
BHI1,Ecoli_contig00009_33020_34372,"""TldE/PmbA protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)""",-7.43
BHI1,Ecoli_contig00013_6972_8414,Pyruvate kinase (EC 2.7.1.40),-4.04
BHI1,Ecoli_contig00025_30805_31239,Universal stress protein F,0.23
BHI1,Ecoli_contig00040_35482_36069,"""Molybdopterin biosynthesis Mog protein, molybdochelatase""",-9.90
BHI1,Ecoli_contig00012_53159_53893,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),-4.52
BHI1,Ecoli_contig00012_54428_55669,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)""",-5.85
BHI1,Ecoli_contig00024_12834_14465,"""Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)""",-2.77
BHI1,Ecoli_contig00044_14971_15405,Universal stress protein A,0.12
BHI1,Ecoli_contig00054_26806_28095,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),-4.37
BHI1,Ecoli_contig00014_70053_71435,ATP synthase beta chain (EC 3.6.3.14),-2.56
BHI1,Ecoli_contig00004_122859_124142,Peptidase B (EC 3.4.11.23),-4.85
BHI1,Ecoli_contig00016_54484_55587,Glycerol dehydrogenase (EC 1.1.1.6),-7.12
BHI1,Ecoli_contig00001_16768_17421,Sigma cross-reacting protein 27A,-4.70
BHI1,Ecoli_contig00014_73930_74463,ATP synthase delta chain (EC 3.6.3.14),-2.47
BHI1,Ecoli_contig00028_33958_34752,Methionine aminopeptidase (EC 3.4.11.18),-4.82
BHI1,Ecoli_contig00011_58959_59891,"""Protein-N(5)-glutamine methyltransferase PrmB, methylates LSU ribosomal protein L3p""",-7.67
BHI1,Ecoli_contig00034_28034_28750,Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1),-1.23
BHI1,Ecoli_contig00003_120053_120937,Nucleoside-specific channel-forming protein Tsx precursor,-4.52
BHI1,Ecoli_contig00092_501_1916,Glutamyl-tRNA synthetase (EC 6.1.1.17),-4.82
BHI1,Ecoli_contig00008_82891_83934,"""Selenide,water dikinase (EC 2.7.9.3)""",-5.37
BHI1,Ecoli_contig00003_150419_150679,Cytoplasmic protein YaiB,-4.34
BHI1,Ecoli_contig00018_32090_33286,2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29),-4.56
BHI1,Ecoli_contig00001_66469_66972,FIG002208: Acetyltransferase (EC 2.3.1.-),-4.89
BHI1,Ecoli_contig00010_118981_120273,Seryl-tRNA synthetase (EC 6.1.1.11),-2.60
BHI1,Ecoli_contig00054_28107_29696,IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3),-4.84
BHI1,Ecoli_contig00014_90338_91228,"""Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)""",-2.70
BHI1,Ecoli_contig00007_107118_108575,Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4) @ Dihydrolipoamide dehydrogenase (EC 1.8.1.4),-1.23
BHI1,Ecoli_contig00019_50085_50648,Alkyl hydroperoxide reductase protein C (EC 1.6.4.-),0.33
BHI1,Ecoli_contig00013_59597_60262,FIG00637942: hypothetical protein,-3.75
BHI1,Ecoli_contig00007_8887_9708,Dihydrodipicolinate reductase (EC 1.3.1.26),-5.46
BHI1,Ecoli_contig00028_37517_38341,"""2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)""",-5.37
BHI1,Ecoli_contig00034_26252_28018,Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1),-2.61
BHI1,Ecoli_contig00085_296_901,Glutathione S-transferase (EC 2.5.1.18),-5.49
BHI1,Ecoli_contig00019_47726_48154,Universal stress protein G,0.07
BHI1,Ecoli_contig00004_112217_112648,Nucleoside diphosphate kinase (EC 2.7.4.6),-3.89
BHI1,Ecoli_contig00017_3562_4656,Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10),-4.98
BHI1,Ecoli_contig00034_33350_34516,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),-0.77
BHI1,Ecoli_contig00007_10164_11312,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5),-7.11
BHI1,Ecoli_contig00042_22445_23854,Glutamine synthetase type I (EC 6.3.1.2),-3.70
BHI1,Ecoli_contig00034_28951_31752,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),-4.01
BHI1,Ecoli_contig00066_11818_12471,Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34),-4.75
BHI1,Ecoli_contig00007_110932_113451,Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99),-2.40
BHI1,Ecoli_contig00016_50387_52567,Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7),-4.33
BHI1,Ecoli_contig00023_62818_64122,Isocitrate lyase (EC 4.1.3.1),-2.30
BHI1,Ecoli_contig00002_62858_63856,"""Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)""",-3.41
BHI1,Ecoli_contig00023_51604_52293,Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),-4.97
BHI1,Ecoli_contig00019_9781_10689,Glutamate Aspartate periplasmic binding protein precursor GltI (TC 3.A.1.3.4),-2.47
BHI1,Ecoli_contig00005_19069_20244,Mannose-6-phosphate isomerase (EC 5.3.1.8),-5.59
BHI1,Ecoli_contig00014_71462_72325,ATP synthase gamma chain (EC 3.6.3.14),-4.24
BHI1,Ecoli_contig00013_57359_57856,Ferritin-like protein 2,-2.58
BHI1,Ecoli_contig00039_22976_23434,Methylglyoxal synthase (EC 4.2.3.3),-5.21
BHI1,Ecoli_contig00037_14833_16074,Glucose-1-phosphatase (EC 3.1.3.10),-2.50
BHI1,Ecoli_contig00027_49668_50606,Malate dehydrogenase (EC 1.1.1.37),0.11
BHI1,Ecoli_contig00034_34516_35385,Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),-0.50
BHI1,Ecoli_contig00067_5696_6628,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95),-7.05
BHI1,Ecoli_contig00034_31767_32984,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),-2.28
BHI1,Ecoli_contig00008_27657_28628,"""PTS system, mannose-specific IIA component (EC 2.7.1.69) / PTS system, mannose-specific IIB component (EC 2.7.1.69)""",-4.12
BHI1,Ecoli_contig00019_77100_79340,"""TonB-dependent receptor; Outer membrane receptor for ferric enterobactin and colicins B, D""",-4.03
BHI1,Ecoli_contig00021_70220_71932,Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2),-5.86
BHI1,Ecoli_contig00006_87075_88697,Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49),-3.27
BHI1,Ecoli_contig00029_53358_54419,FIG00638561: hypothetical protein,-3.46
BHI1,Ecoli_contig00019_61043_61900,Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore / Apo-aryl carrier domain of EntB,-4.69
BHI1,Ecoli_contig00014_42781_44196,Tryptophanase (EC 4.1.99.1),-4.41
BHI1,Ecoli_contig00015_4418_6064,"""Fumarate hydratase class I, anaerobic (EC 4.2.1.2)""",-6.72
BHI1,Ecoli_contig00004_43839_46118,NADP-dependent malic enzyme (EC 1.1.1.40),-3.79
BHI1,Ecoli_contig00011_80639_81421,"""Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)""",-3.94
BHI1,Ecoli_contig00017_40694_41848,S-adenosylmethionine synthetase (EC 2.5.1.6),-4.68
BHI1,Ecoli_contig00006_43547_44650,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),-7.51
BHI1,Ecoli_contig00043_20205_21623,"""Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component / DHA-specific phosphocarrier protein HPr / DHA-specific EI component""",-8.27
BHI1,Ecoli_contig00012_96344_97594,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),-0.32
BHI1,Ecoli_contig00018_20606_21796,L-lactate dehydrogenase (EC 1.1.2.3),-5.01
BHI1,Ecoli_contig00017_53682_54728,L-asparaginase (EC 3.5.1.1),-2.37
BHI1,Ecoli_contig00067_8051_9199,Galactonate dehydratase (EC 4.2.1.6),-4.85
BHI1,Ecoli_contig00020_44902_45978,"""Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)""",-4.02
BHI1,Ecoli_contig00004_18363_19154,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),-3.45
BHI1,Ecoli_contig00023_35313_36503,"""Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE""",-5.49
BHI1,Ecoli_contig00070_666_1304,Outer membrane protein W precursor,-2.24
BHI1,Ecoli_contig00005_20443_22089,"""Fumarate hydratase class I, aerobic (EC 4.2.1.2)""",-2.95
BHI2,Ecoli_contig00001_211037_211429,Protein ygiW precursor,-6.05
BHI2,Ecoli_contig00045_35127_35732,Osmotically inducible protein OsmY,-4.38
BHI2,Ecoli_contig00044_29629_29967,Chaperone HdeB,-0.87
BHI2,Ecoli_contig00044_30071_30403,Chaperone HdeA,-6.22
BHI2,Ecoli_contig00015_25505_25948,PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,-7.09
BHI2,Ecoli_contig00022_5625_6146,Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1),-7.56
BHI2,Ecoli_contig00055_21093_21542,FIG00638941: hypothetical protein,-2.15
BHI2,Ecoli_contig00050_590_1990,Glutamate decarboxylase (EC 4.1.1.15),
BHI2,Ecoli_contig00023_22286_22495,UPF0337 protein yjbJ,-3.05
BHI2,Ecoli_contig00022_39196_40200,"""L,D-transpeptidase YnhG""",-5.67
BHI2,Ecoli_contig00002_143000_143332,FIG00638559: hypothetical protein,-4.25
BHI2,Ecoli_contig00003_202553_202828,FIG00639237: hypothetical protein,-6.28
BHI2,Ecoli_contig00041_3652_4128,Bacterioferritin Ecoli_contig00041_3652_4128|Bacterioferritin,-2.47
BHI2,Ecoli_contig00014_31118_31516,FIG00638813: hypothetical protein,
BHI2,Ecoli_contig00003_76107_76679,Glycoprotein-polysaccharide metabolism,-7.27
BHI2,Ecoli_contig00006_31820_32260,FIG00638953: hypothetical protein,
BHI2,Ecoli_contig00059_6428_7279,Chaperone protein hchA,-2.44
BHI2,Ecoli_contig00008_108643_108981,Osmotically inducible lipoprotein E precursor,-1.17
BHI2,Ecoli_contig00037_16112_16339,Putative cytoplasmic protein,-4.06
BHI2,Ecoli_contig00026_23548_23979,Osmotically inducible protein C,-2.07
BHI2,Ecoli_contig00001_126901_127206,Uncharacterized membrane protein YqjD,-2.09
BHI2,Ecoli_contig00012_25898_26545,Glutaredoxin 2,-4.70
BHI2,Ecoli_contig00010_26964_27467,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),-0.99
BHI2,Ecoli_contig00069_85_366,hypothetical protein,-1.03
BHI2,Ecoli_contig00029_32534_33202,Uncharacterized membrane lipoprotein clustered with tellurite resistance proteins TehA/TehB,-6.76
BHI2,Ecoli_contig00040_5204_6427,Phosphopentomutase (EC 5.4.2.7),-3.75
BHI2,Ecoli_contig00008_136790_137341,Glutathione peroxidase (EC 1.11.1.9),-4.86
BHI2,Ecoli_contig00017_21328_22068,Protein of unknown function DUF541,-4.94
BHI2,Ecoli_contig00091_1340_2665,"""Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4); Mercuric ion reductase (EC 1.16.1.1); PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase""",
BHI2,Ecoli_contig00010_81701_82432,"""Arginine ABC transporter, periplasmic arginine-binding protein ArtI""",-5.11
BHI2,Ecoli_contig00001_223263_224090,"""Methylglyoxal reductase, acetol producing (EC 1.1.1.-) / 2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)""",-5.44
BHI2,Ecoli_contig00087_3350_3976,Nicotinamidase family protein YcaC,-5.43
BHI2,Ecoli_contig00018_24926_25177,Glutaredoxin 3 (Grx3),-3.82
BHI2,Ecoli_contig00036_17112_18107,6-phosphogluconolactonase (EC 3.1.1.31),-4.90
BHI2,Ecoli_contig00055_3042_3557,S-ribosylhomocysteine lyase (EC 4.4.1.21) / Autoinducer-2 production protein LuxS,-1.41
BHI2,Ecoli_contig00010_83396_83911,probable lipoprotein,-4.77
BHI2,Ecoli_contig00028_9339_9539,FIG00639395: hypothetical protein,-5.12
BHI2,Ecoli_contig00040_38339_40255,Chaperone protein DnaK,-0.47
BHI2,Ecoli_contig00022_15245_15592,hypothetical protein,-7.39
BHI2,Ecoli_contig00070_10744_11364,YciO family,-4.36
BHI2,Ecoli_contig00017_36865_37785,Agmatinase (EC 3.5.3.11),-4.33
BHI2,Ecoli_contig00019_14091_14573,Uncharacterized protein YbeL / FIG002095: hypothetical protein,-5.50
BHI2,Ecoli_contig00039_29914_30978,Outer membrane protein A precursor,-1.77
BHI2,Ecoli_contig00018_10600_10809,Putative cytoplasmic protein,-5.43
BHI2,Ecoli_contig00039_21632_22045,"""Succinyl-CoA synthetase, alpha subunit-related enzymes""",-4.87
BHI2,Ecoli_contig00018_59647_59922,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),-3.23
BHI2,Ecoli_contig00058_19752_20045,Heat shock protein 60 family co-chaperone GroES,0.32
BHI2,Ecoli_contig00040_24114_24830,Aerobic respiration control protein arcA,-2.74
BHI2,Ecoli_contig00008_135347_135646,Integration host factor alpha subunit,-2.91
BHI2,Ecoli_contig00004_10511_11020,"""PTS system, glucose-specific IIA component (EC 2.7.1.69)""",-0.43
BHI2,Ecoli_contig00017_55807_56133,FIG002060: uncharacterized protein YggL,-4.92
BHI2,Ecoli_contig00004_124412_124747,"""Ferredoxin, 2Fe-2S""",-4.41
BHI2,Ecoli_contig00003_106892_107383,FIG001943: hypothetical protein YajQ,-2.96
BHI2,Ecoli_contig00041_36179_36688,Peptide deformylase (EC 3.5.1.88),-4.93
BHI2,Ecoli_contig00055_19384_19788,DNA-binding protein H-NS,-4.97
BHI2,Ecoli_contig00076_4276_4527,Protein yciN,-4.74
BHI2,Ecoli_contig00006_129169_129741,Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8),-3.97
BHI2,Ecoli_contig00021_674_859,Carbon storage regulator,-2.84
BHI2,Ecoli_contig00010_110642_111607,Thioredoxin reductase (EC 1.8.1.9),-2.76
BHI2,Ecoli_contig00002_70478_71362,Cytidine deaminase (EC 3.5.4.5),-10.75
BHI2,Ecoli_contig00012_51248_52201,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)""",-3.89
BHI2,Ecoli_contig00004_7086_8057,Cysteine synthase (EC 2.5.1.47),-0.33
BHI2,Ecoli_contig00046_20883_21671,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),-3.05
BHI2,Ecoli_contig00013_1438_2079,4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) / 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),-4.12
BHI2,Ecoli_contig00040_13434_15101,"""ABC transporter, ATP-binding protein""",-4.74
BHI2,Ecoli_contig00079_5225_5491,Cell division topological specificity factor MinE,-2.95
BHI2,Ecoli_contig00022_1882_2316,Transcriptional regulator SlyA,-6.14
BHI2,Ecoli_contig00067_9196_9813,2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21),-2.26
BHI2,Ecoli_contig00007_128045_128839,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),-4.62
BHI2,Ecoli_contig00011_65794_67014,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)""",-2.40
BHI2,Ecoli_contig00022_16869_17450,Superoxide dismutase [Fe] (EC 1.15.1.1),-0.34
BHI2,Ecoli_contig00010_25814_26560,"""Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2)""",-0.85
BHI2,Ecoli_contig00049_16500_18140,Phosphoglucomutase (EC 5.4.2.2),-3.49
BHI2,Ecoli_contig00009_92956_94254,Adenylosuccinate synthetase (EC 6.3.4.4),-3.65
BHI2,Ecoli_contig00025_44742_45692,Universal stress protein E,-3.99
BHI2,Ecoli_contig00001_224195_225358,NADPH-dependent broad range aldehyde dehydrogenase YqhD,-6.05
BHI2,Ecoli_contig00043_300_1154,2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),-2.22
BHI2,Ecoli_contig00079_4409_5221,Septum site-determining protein MinD,-2.78
BHI2,Ecoli_contig00011_79636_80418,Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1),-3.16
BHI2,Ecoli_contig00006_107825_108829,Tryptophanyl-tRNA synthetase (EC 6.1.1.2),-5.51
BHI2,Ecoli_contig00004_151826_153079,Serine hydroxymethyltransferase (EC 2.1.2.1),-0.88
BHI2,Ecoli_contig00009_20985_21446,Aspartate carbamoyltransferase regulatory chain (PyrI),-5.19
BHI2,Ecoli_contig00008_122244_123104,"""Fructosamine kinase family protein, At3g61080 homolog""",-4.10
BHI2,Ecoli_contig00018_25995_27539,"""2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)""",-4.55
BHI2,Ecoli_contig00051_5348_5926,Phosphoheptose isomerase 1 (EC 5.3.1.-),-2.73
BHI2,Ecoli_contig00004_64646_65359,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),-0.71
BHI2,Ecoli_contig00011_92755_93957,Acetate kinase (EC 2.7.2.1),-1.90
BHI2,Ecoli_contig00062_13108_13461,Putative ACR protein,-3.55
BHI2,Ecoli_contig00009_33020_34372,"""TldE/PmbA protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)""",-7.69
BHI2,Ecoli_contig00013_6972_8414,Pyruvate kinase (EC 2.7.1.40),-4.05
BHI2,Ecoli_contig00025_30805_31239,Universal stress protein F,0.62
BHI2,Ecoli_contig00040_35482_36069,"""Molybdopterin biosynthesis Mog protein, molybdochelatase""",-10.44
BHI2,Ecoli_contig00012_53159_53893,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),-4.29
BHI2,Ecoli_contig00012_54428_55669,"""3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)""",-5.55
