Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
3,TL,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007958,Modular epistasis and the compensatory evolution of gene deletion mutants,"Echenique, 2019",1,S. cerevisiae,haploid,740 (37 founders x 20 replicates each) (only 100 seq'ed),500,,YPD,S2 data,Choose only the founders with 3 or more pops,B6,122
3,TL,https://www.biorxiv.org/content/biorxiv/early/2019/02/08/542548.full.pdf,Chemical-genetic profiling reveals cross-resistance and collateral sensitivity between antimicrobial peptides,"Kintses, 2019",1,E. coli K-12,,10,~ 120,,MS medium + HBD-3. Stressor: HBD-3.,Table S9,,B6,231
1,TL,https://www.biorxiv.org/content/10.1101/624205v1.abstract,Mutations that improve the efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,"Morgenthaler, 2019",1,E. coli K-12 (AM187),,8,[~718-1000],,"37 °C, M9 (0.2% glucose, 0.4 mM proline, & 20 µg/mL kanamycin) ","""mutation"" sheet","_ Founder: AM187, constructed from E. coli BW25113 i.e. K-12).
_ Notate w/ days (generations too varied). Also, 2 genes notated in breseq (e.g. kanR/argB), but doesn't say intergenic - remove (remove those with ""/"" in ""gene"" column?)",B6,316
22,TL,https://www.nature.com/articles/s41564-018-0340-2,Pseudogene repair driven by selection pressure applied in experimental evolution,"Anand, 2019",1,E. coli,haploid,"1 (the other had 3 replicates, but 2 w/ iron & 1 w/o).","47 days (ALE_36), 38 (ALE_37), & 39 (ALE_38) - Supplementary Figure 4 - used (47+38+39)/3 = 41 days in analysis.",,"M9 minimal medium with 4 g/l glucose, kept at 37 °C and well-mixed for full aeration. Iron supplementation: 20 µM FeSO4 & 10 mM sodium citrate.",Supplementary Table 2 has mutation data.,,B2,10
11,TL,https://academic.oup.com/mbe/article/34/7/1758/3091892,Rapid Genetic Adaptation during the First Four Months of Survival under Resource Exhaustion,"Avrani, 2017",1,E. coli,haploid,5,11 days,,LB. Stressor: Resource exhaustion.,"Table S2. Mutiple days. Treat them as ""generations"".","Only used data from Day 11 (Only days 11, 64, & 127 were common time points for all populations. Pop 4 Day 64 and Pop 2 Day 127 suspected to be mutators, so those days were omitted). Treat data as single-gen.",B2,21
17,TL,https://academic.oup.com/mbe/article/34/9/2367/3864503,Metabolism and the Evolution of Social Behavior,"Boyle, 2017",1,P. aeruginosa (PA14),haploid,6,49 (7 days x ~ 7 gens/day),,LB,Table S2 - collapse the isolates (e.g. 2-1 & 2-2 become just 2).,_ Founder: cbrA deleted.,B2,55
12,TL (analyzed 191122),https://msphere.asm.org/content/2/3/e00059-17?utm_source=TrendMDmSphere&utm_medium=TrendMDmSphere&utm_campaign=trendmdalljournals_0,Genomewide Mutational Diversity in Escherichia coli Population Evolving in Prolonged Stationary Phase,"Chib, 2017",1,E. coli,haploid,4,28 days (not generations),,"LB. Incubator shaker set at 37°C and
200 rpm.",Table S6 - so far just for 1 pop.,"_ Paper evolved 5 populations, but population 4 had mutator-like phenotype, so it was excluded.
_Table 2 has mutation data, but only for ""genes of interest"". Very likely author has complete data. Used days, not generations. Has frequencies. Email: savitac@ncbs.res.in
_ http://bugbears.ncbs.res.in/ZK819_ltsp_evol/ has complete breseq data - JUST USE THE 28-DAY ONES.
_ Prolonged stationary phase.",B2,75
6,MH,https://aem.asm.org/content/83/2/e02736-16.short,Benzoate- and Salicylate-Tolerant Strains of Escherichia coli K-12 Lose Antibiotic Resistance during Laboratory Evolution,"Creamer, 2016",1,E. coli K-12 (W3110),haploid,16,2000,,"LBK, w/ benzoate in increasing concentrations (Gens 0-60: 5 mM, 60-90: 6 mM, 90-540: 10 mM, 540-1020: 12 mM, 1020-1210: 15 mM, 1210-1580: 18 mM &1580-3000: 20 mM.",,"_ Has frequenciy data.
_ Pop names: A1-1: Pop A1, clone 1.",B2,90
9,TL,https://www.nature.com/articles/s41467-018-05409-9,Global rewiring of cellular metabolism renders Saccharomyces cerevisiae Crabtree negative,"Dai, 2018",1,S. cerevisiae,haploid,3,40 days,,"30°C, 200 rpm in minimal medium with 20 g l−1 glucose.",Supplementary Table 3 - Mutations evolved.,"_ Not included : sZJD-24-3A & 3B (genomic DNA failed to meet sequencing quality requirement).
_ Populations are 1, 2, & 3, NOT A, B, & C (A, B, & C are the 3 clones isolated from each population).
",B2,94
20,TL,https://scholars.unh.edu/cgi/viewcontent.cgi?article=3164&context=dissertation,Causes and Consequences of Diversity within Experimental Biofilms of Pseudomonas aeruginosa,"Flynn, 2014",1,P. aeruginosa (PA14),haploid,2 founder x 3 reps,540,,3 pops: 7mm polystyrene (PS) beads suspended in M63. 3 pops: no beads. Stressor: PS beads.,Tables B.2 & C.1,Table B.3 not helpful - eliminated some mutations. Table B.4 not helpful - only 1 pop. ,B2,138
1,,https://www.frontiersin.org/articles/10.3389/fgene.2015.00042/full,Rapid evolution of silver nanoparticle resistance in Escherichia coli,"Graves, 2015",5,E. coli,haploid,"10 (5 controls, 5 treatment groups)",225 (but only gen 100 & 200 are sequenced),"At gen. 200: Controls - 63 putative polymorphisms, 9 > a frequency of 0.05, 3 were ancestral and 5 were shared with the treatment populations but were not ancestral. Treatment populations -34 polymorphisms, 12 > a frequency of 0.05, 3 were ancestral and 5 shared with the control populations but not ancestral.","_ Davis minimal broth with dextrose 10% as a sole carbon source, enriched with thiamine hydrochloride 0.1%.
_ The controls were founded by taking five different 0.1 ml samples and adding them to 9.9 ml of DMB broth. On the following day the treatment groups were founded by taking 0.1 mL samples from each of the controls and adding them to 9.9 ml of standard DMB medium with the addition of 50 μg/L or 50,000 ng/L concentration of 10 nm citrate-coated spherical AgNPs.",,"_ 191108: Screened.
_ Gen 100: Table 3B - SNP; Table 4B - Indels.
_ Gen 200: Table 5B - SNP; Table 6B - Indels.
_ Asking AG about .xls files for the above tables.",B2,164
4,TL,https://aem.asm.org/content/85/5/e02792-18.abstract,Experimental Evolution of Escherichia coli K-12 in the Presence of Proton Motive Force (PMF) Uncoupler Carbonyl Cyanide m-Chlorophenylhydrazone Selects for Mutations Affecting PMF-Driven Drug Efflux Pumps,"Griffith, 2019",1,E. coli,Haploid,17,1000,At least 157 (Table S1) - need to combine w/ Tables S2 & 3.,"Modified LBK medium (10 g/liter tryptone, 5 g/liter yeast extract, and 7.45 g/liter KCl. 9 strains grew on pH 6.5 medium, 8 on pH 8. CCCP concentrations increased over time for both media (20-150 for pH 6.5 & 60-150 for pH 8).",Tables S1-3 has breseq data.,"WGS after 1000 generations. There were 2 C-B11 strains that were sequenced after 2000 generations, but data isn't useful because there are only 2 strains.",B2,167
21,TL,https://aem.asm.org/content/83/12/e00442-17,Acid evolution deletes amino-acid decarboxylases and reregulates catabolism of Escherichia coli K-12,"He, 2017",1,E. coli,Haploid,24,2000,,"_ Malic-acid supplemented LBK, pH 4.6 - 4.8, 37 degrees C.
",," _""Two clones each from 4 independent bacterial populations (B11, F9, F11, and H9) were isolated for genomic analysis.""
_ Link found from paper search: https://aem.asm.org/content/aem/early/2017/04/03/AEM.00442-17.full.pdf. 
_ When MH went through this paper, it was likely the data was not available.
_ Updated w/ new link (has supp data) - currently under ""link"" column.",B2,179
12,MH,https://elifesciences.org/articles/27167,Genetic variation in adaptability and pleiotropy in budding yeast,"Jerison, 2017",1,S. cerevisiae,haploid,"Pops from 35 founders seq'ed - See ""Additional comments"".",500,,,xls provided below,"
_ ""Population"" col: 35 founders.
_ 230 founders (aka segregants in this paper), 8 populations established from each -> 1840. However, some wells were lost due to pipetting artifacts. These wells were
excluded from all analysis, leaving a total of 910 evolved lines in the OT environment and 839 in the
HT environment. -> 910 + 839 = 1749. 
_ 273 populations seq'ed descended from 35 founders in both environments (this excludes
7 populations descended from these founders lost due to pipetting artifacts). The founders selected for sequencing were chosen to ensure approximately equal representation of each parental KRE33 allele, but were otherwise random.

",B2,208
6,TL,https://link.springer.com/article/10.1007/s00239-017-9781-0,Experimental Evolution of Escherichia coli Harboring an Ancient Translation Protein,"Kacar, 2017",1,E. coli,haploid,6,2000,,,Supplementary Material 6,"_ Founder: Native tufB replaced by inferred ancestor.
_ The 6 populations in Supplementary Material 6 are the 6 ancient-modern hybrid lines.",B2,214
7,TL,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005715,Multifactorial Competition and Resistance in a Two-Species Bacterial System,"Khare, 2015",1,E. coli (the useful dataset),haploid,3,"15 (for pvdJ, the only usable dataset)",,LB,Table S1,"_ Only pvdJ data is useful (other selective pressures only evolved 2 populations). No frequencies.
_ Data in PDF format. Experiment done over 2 days.",B2,226
8,,https://aem.asm.org/content/84/17/e01201-18.abstract,Widely Used Benzalkonium Chloride Disinfectants Can Promote Antibiotic Resistance,"Kim, 2018",5,P. aeruginosa,haploid,"2 ancestors (DPB, DP) x 3 pops",~ 200,,LB + BAC,"_ Tables S4A-D have mutation info (SNPs & DIPs (deletions, insertions, & other polymorphisms)).","_ 191108: Screened.
_ Selection pressure: Benzalkonium chlorides (BAC).
_ DPB = dextrin-peptone plus BAC, DP = dextrin-peptone, B = BAC only.
_ BAC(+) vs BAC(-): 
----Subsequently, 1% of the adapted population from the tube that showed growth (i.e., ≤80% growth reduction) at the highest concentration of BAC was transferred to new medium daily, followed by similar rounds of increasing BAC concentrations until no growth was observed in any tube [BAC(+) populations].
----The inoculum from the tube that showed growth in the highest BAC concentration was subsequently transferred to LB [BAC(−) populations], followed by rounds of growth in decreasing BAC concentrations.
_ TL decided to just use BAC(+) data (can look at it as ALE of P. aeruginosa to increasing BAC concentrations).",B2,229
13,TL,https://www.biorxiv.org/content/10.1101/347609v1.abstract,Evolutionary trade-offs between unicellularity and multicellularity in budding yeast,"Kuzdzal-Fick, 2018",1,S. cerevisiae,haploid,3,28 days,,"YPD. 30°C, shaking LabNet 311DS incubator at 300 rpm.",Table S1,"_ Founder: TBR1, a segregant obtained by multiple crosses of baking strains.
Table S1 - Unique mutations in the TBR1 EvoTop isolates (minimum frequency 14%). Email sent 190604. Got file 190610.",B2,245
12,TL,https://www.nature.com/articles/s41467-018-06219-9,Evolution of gene knockout strains of E. coli reveal regulatory architectures governed by metabolism,"McCloskey, 2018",1,E. coli,haploid,5 knockout strains and Ref,~35 days (Fig. 1d),,glucose minimal media at 37 °C,Supplementary Data 5,_ Has frequenciy data.,B2,292
9,TL,https://pubs.acs.org/doi/abs/10.1021/acssynbio.6b00192,Rapid and Inexpensive Evaluation of Nonstandard Amino Acid Incorporation in Escherichia coli,"Monk, 2016",5,E. coli,haploid,3,"18 days (12 growth cycles, ""Growth cycles alternated between LB for 24 h and M9GBT for 48 h"") ",,"""Cells were cultured in LB (10 g/L tryptone, 5 g/L yeast extract, 10 g/L NaCl) or in M9 minimal medium supplemented with 1 mg/mL glucose, 1 μg/mL biotin, and 2 μg/mL thiamine (M9GBT).""",,"_ Full article link: https://pubs-acs-org.uml.idm.oclc.org/doi/pdf/10.1021%2Facssynbio.6b00192
_ ""five evolved clones from
different populations (N1, N3, N4, P2, P3)"" -> Just use the N (no plasmid) pops - 3 pops.
_ Data needed is in Table 2.",B2,312
3,TL,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717616302348#s0105,Increased production of L-serine in Escherichia coli through Adaptive Laboratory Evolution,"Mundhada, 2017",1,E. coli K-12 MG1655 ,haploid,5,45 days,36 (ALEdb),M9 minimal media supplemented with 2 mM glycine and increasing concentrations of the amino acid L-serine at 37 °C. Stressor: L-serine.,,"Project SER in aledb. Paper says 5 pops, but only data for 3 in aledb bc the other 2 are hypermutators  Email: afeist@ucsd.edu",B2,319
10,TL,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/full/10.1111/1462-2920.13319,Thiouridine residues in tRNAs are responsible for a synergistic effect of UVA and UVB light in photoinactivation of Escherichia coli,"Sandra, 2016",1,E. coli,haploid,2,8 days - no info on # of generations.,,M9 minimal medium. Stressor: Combined UVA and UVB irradiation,List of all mutations identified in the 10 evolved strains compared to the corresponding ancestor.,_ No frequencies.,B2,397
2,TL (analyzed 191125),https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004872,Mutations in Global Regulators Lead to Metabolic Selection during Adaptation to Complex Environments,"Saxer, 2014",1,E. coli,haploid,"2 treatment E. coli and 1 control, grown to 12 populations each. BHI: 3 ""ancestor replicates"" x 12 populations per replicate","LB-500, BHI-765, Control LB-5888",,"LB (Control); LB, BD; BBL BHI, BD ","S2 Table has info for BHI-evolved pops on which proteins ""changed significantly over the course of adaptation"" i.e. whose log2 changes were significant (>±0.7) when compared with the average of the 3 ancestors (BHI evo had 3 replicates).
","_ 191108: Screened.
_ BHI data will be split into 3 datasets based on ancestor (A, B, C).
_ Selective pressure (for BHI): Rich media (BBL BHI).",B2,401
10,TL (analyzed 191125),https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3718-2,Acceleration and suppression of resistance development by antibiotic combinations,"Suzuki, 2017",1,E. coli,haploid,"42 evolved clones, 6 conditions x 7 independantly culture series",33 days,,"_ M9.
_ Antibiotics: AMK (amikacin), CP (chloramphenicol), ENX (enoxacin). Used singularly and pairwise (6 envirs).",_ Table S1 has mutation info.,"_ 191108: Screened.
_ Selective pressure: The antibiotic(s) used in each experiment.",B2,441
15,TL (analyzed 191127),https://www.nature.com/articles/s41598-018-21549-w,Evolving Bacterial Fitness with an Expanded Genetic Code,"Tack, 2018",1,E. coli,haploid,"2 ancestors (Addicted & control) x 3 media (RDM-20, RDM-19, & RDM-13 x 3 replicates",2000,,"_ RDM (Rich defined medium).
_ RDM-20 contains all 20 standard amino acids. Similar interpretation for RDM-19 & RDM-13.",,"_ 191108: Screened.
_ Table 2 has mutation info.
_ Data will be split into 2 datasets based on ancestor (control & addicted).
_ Selective pressure: Different amino acid compostions in media.",B2,443
1,MH,https://www.nature.com/articles/nature18959#methods,"Tempo and mode of genome evolution in a 50,000 generation experiment","Tenaillon, 2016",1,E. coli B,Haploid,12,"50,000","14572 point mutations, 500 IS mutations, (726 dels, 1132 in) < 50bp, (267 del, 45 dup) > 50bp.",Davis minimal medium with 25 μg/ml glucose,"Information on clones, and G scores",,B2,452
7,MH,https://academic.oup.com/mbe/article/33/3/770/2579556,Adaptation to Parasites and Costs of Parasite Resistance in Mutator and Nonmutator Bacteria,"Wielgoss, 2016",1,E. coli K-12 (MG1655),haploid,"3 mucoid, 3 non-mucoid",,,"LB, supplemented w/ 10 mM MgSO4.",,Colour block data table of mutation presence,B2,488
,MH,https://www.pnas.org/content/114/10/E1904,Specificity of genome evolution in experimental populations of Escherichia coli evolved at different temperatures,"Deatherage, 2017",1,E. coli B,haploid,30,2000,,"six in each of five different thermal regimes: constant 20 °C, 32 °C, 37 °C, 42 °C, and daily alternations between 32 °C and 42 °C. glucose-limited medium. Stressor: Temperature.","a table that lists the endpoint E. coli clones isolated from each TEE population at generation 2,000"," _ Project TEE in aledb.
_ Founding strains REL1206 & 1207 are isolated 2000 gens after LTEE of REL606. According to  https://cgsc2.biology.yale.edu/Strain.php?ID=121866, REL606 is ""Not a K-12 strain. This is an E. coli B derivative.""
_ Number of protein genes: 4209 (according to https://www.genome.jp/kegg-bin/show_organism?org=ebr).
_ A1-A5: 5 different temperature schemes.
_ Re-analyze - Treat dataset as multiple_long() - each ""A"" is a founder & undergoes a dif selective pressure (dif temperatures).",A ,103
,MH,https://www.pnas.org/content/115/1/222,Dissecting the genetic and metabolic mechanisms of adaptation to the knockout of a major metabolic enzyme in Escherichia col,"Long, 2017",1,E.coli K-12 (MG1655),haploid,10,50 days,,M9 minimal medium,"Dataset S1, tab ""mutations""",_ Founder: pgi deleted.,A ,281
,MH,https://academic.oup.com/mbe/article/31/10/2647/1011712,Evolution of Escherichia coli to 42 °C and Subsequent Genetic Engineering Reveals Adaptive Mechanisms and Novel Mutations,"Sandberg, 2014",1,E.coli K-12 (MG1655),haploid,10,45 days,,"42 degrees Celsius, glucose minimal medium",Dataset S1 .,,A ,391
,MH,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151130,Evolution of E. coli on [U-13C]Glucose Reveals a Negligible Isotopic Influence on Metabolism and Physiology,"Sandberg, 2016",1,E.coli K-12 (MG1655),haploid,6,Average of 963 generations.,,glucose M9 minimal medium.,Charts of growth rate.and excel sheet with Physiological data of E. coli strains grown aerobically on glucose M9 minimal medium. sequency excel sheet showing where the mutation affects the allele. Stressor: 13C isotope.,"Timepoints in ""flasks"" - take average within ""early"", ""intermediate"", & ""late"" timepoints & scale 963 generations to average ""late"" flasks?",A ,392
,MH,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003972#s5,"Whole Genome, Whole Population Sequencing Reveals That Loss of Signaling Networks Is the Major Adaptive Strategy in a Constant Environment","Sherlock, 2013",1,S. cerevisiae S288c,haploid,3,448,,YPD. Stressor: Constant environment.,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1003972.s007&type=supplementary,"Is ""Kvitek, 2013"" in ""Screening""-""Payen2016"".",A ,418
,MH,https://www.biorxiv.org/content/10.1101/540625v2,"Evolutionary dynamics of de novo mutations and mutant lineages arising in a simple, constant environment","Sherlock, 2019",1,E.coli JA122,haploid,3,500,,"Davis minimal medium. Stressor: Constant, glucose-limited environment.",Supplementary Table S5.,"E. coli JA122 - how dif from K-12, how many genes?",A ,419
,TL,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.454.6771&rep=rep1&type=pdf,The Molecular Diversity of Adaptive Convergence,"Tenaillon, 2012",1,E.coli,haploid,115,2000,,"Davis minimal medium, supplemented with 25 mg/l glucose, at a constant temperature of 42.2°C","Table of mutations identified in the genome sequence of 115 lines, table of operational units containing > 5 mutations", No frequencies.,A ,448
,MH,https://www.pnas.org/content/115/12/3090,Adaptive evolution of genomically recoded Escherichia coli,"Wannier, 2018",1,E.coli K-12 (MG1655),haploid,14,~1100,,M9 minimal media plus 1% glucose plus biotin plus carbenicillin,All observed frequencies for each mutations to release factors prfB and prfC. Table of all mutations that affect stop codons,_ Founder: All 321 UAG stop codons replaced with UAA; prfA deleted.,A ,482
,TL,https://aem.asm.org/content/83/13/e00410-17,Laboratory Evolution to Alternating Substrate Environments Yields Distinct Phenotypic and Genetic Adaptive Strategies,"Sandberg, 2017",1,E. coli,haploid,5,"1180 generations (glu-xyl), 1170 (glu-gly), 650 (glu-ac), & ~ 1000 for others.",,"M9 minimal medium + carbon source(s). Three tubes switched between glucose and xylose (1,180 generations), three between glucose and glycerol (1,170 generations), and three between glucose and acetate (650 generations). Cultures were also evolved to each of the four different compounds on their own with no switching: glucose, xylose, glycerol, and acetate. aledb datasets are available for all environments except the glucose control.",File S2: Mutations found at > 15% frequency (for dynamic (i.e. alternating) growth conditions) & mutation list for static (i.e. single-medium) growth conditions.,"_ Project SSW in aledb. Each dataset is its own environment. 
_ Data from aledb (includes ""non-notables"" as well): https://aledb.org/ale/project/13/. 
_ Glycerol not useful ((https://aledb.org/mutations/?ale_experiment_id=53) - only 2 populations.",A,393
,191106,https://doi-org.uml.idm.oclc.org/10.1038%2Fnature11879,Evolutionary rescue from extinction is contingent on a lower rate of environmental change,"Lindsey, 2013",5,E. coli,,,,,,,"_ 191107: Scanned for duplicate & wrong species.
_ Incorrect framework, but interesting for within-gene parallelism.
_ 191108: Screened.
",RL,276
,191106,https://doi-org.uml.idm.oclc.org/10.7554%2FeLife.09696,Fine-tuning citrate synthase flux potentiates and refines metabolic innovation in the Lenski evolution experiment,"Quandt, 2015",4,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Incorrect framework.
_ 191108: Screened.",RL,357
,191106,https://doi-org.uml.idm.oclc.org/10.1128%2FmBio.01377-14,Large chromosomal rearrangements during a long-term evolution experiment with Escherichia coli,"Raeside, 2014",5,E. coli,,,,,,,"
_ 191107: Scanned for duplicate & wrong species.
_ Structural changes.
_ 191108: Screened.",RL,359
,191106,https://doi-org.uml.idm.oclc.org/10.1016%2Fj.celrep.2013.07.026,Convergent evolution of hyperswarming leads to impaired biofilm formation in pathogenic bacteria,"Van Ditmarsch, 2013",5,,,,,,,,"_ 191108: Screened.
_ Incorrect framework, but interesting for within-gene parallelism.
_ 191108: Screened.",RL,471
1,,http://science.sciencemag.org/content/355/6327/826,Antibiotic tolerance facilitates the evolution of resistance,"Levin-Reisman, 2017",5,E. coli,haploid,"3 founders, total of 14 populations",,,,,_ Author to be emailed.,B2,267
,191104,http://symposium.cshlp.org.uml.idm.oclc.org/content/74/119,Genome-wide mutational diversity in an evolving population of Escherichia coli,"Barrick, 2009",3,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.",RL,25
,191104,https://www-nature-com.uml.idm.oclc.org/articles/nature08480,Genome evolution and adaptation in a long-term experiment with Escherichia coli,"Barrick, 2009",3,E. coli,,,,,,,"_ 191106: Scanned for duplicate & wrong species.",RL,26
