Page Number of Search (B2),Who analyzed (if paper useful)?,Link,Paper Name,"Author, Year of Publication","Usefulness (1=useful, 2=promising, 3=unpromising)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. total muts,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")"
,MH,https://www.pnas.org/content/115/12/3090,Adaptive evolution of genomically recoded E. coli,"Wannier, 2018",1,E.coli K-12 (MG1655),haploid,14,~1100,,,M9 minimal media plus 1% glucose plus biotin plus carbenicillin,All observed frequencies for each mutations to release factors prfB and prfC. Table of all mutations that affect stop codons,_ Founder: All 321 UAG stop codons replaced with UAA; prfA deleted.,A 
7,MH,https://academic.oup.com/mbe/article/33/3/770/2579556,Adaptation to Parasites and Costs of Parasite Resistance in Mutator and Nonmutator Bacteria,"Weilgoss, 2016",1- colour block data table of mutation presence,E. coli K-12 (MG1655),haploid,"3 mucoid, 3 non-mucoid",,,,"LB, supplemented w/ 10 mM MgSO4.",,,B2
10,TL,https://onlinelibrary-wiley-com.uml.idm.oclc.org/doi/full/10.1111/1462-2920.13319,Thiouridine residues in tRNAs are responsible for a synergistic effect of UVA and UVB light in photoinactivation of E. coli,"Sandra, 2016",1 - but no frequencies.,E. coli,haploid,2,8 days - no info on # of generations.,96,,M9 minimal medium. Stressor: Combined UVA and UVB irradiation,List of all mutations identified in the 10 evolved strains compared to the corresponding ancestor.,,B2
,TL,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.454.6771&rep=rep1&type=pdf,The Molecular Diversity of Adaptive Convergence,"Tenaillon, 2012",1 - Project 42C_Tenaillon in aledb. Data from: https://aledb.org/mutations/?ale_experiment_id=136. No frequencies.,E.coli,haploid,115,2000,1331,,"Davis minimal medium, supplemented with 25 mg/l glucose, at a constant temperature of 42.2°C","table of Mutations identified in the genome sequence of 115 lines, table of operational units containing > 5 mutations",,A 
7,TL,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005715,Multifactorial Competition and Resistance in a Two-Species Bacterial System,"Khare, 2015",1 - Only pvdJ data is useful (other selective pressures only evolved 2 populations). No frequencies.,E. coli (the useful dataset),haploid,3,"15 (for pvdJ, the only usable dataset)",,,LB,Table S1,Data in PDF format. Experiment done over 2 days.,B2
,TL,https://aem.asm.org/content/83/13/e00410-17,Laboratory Evolution to Alternating Substrate Environments Yields Distinct Phenotypic and Genetic Adaptive Strategies,"Sandberg, 2017","1 - Project SSW in aledb. Each dataset is its own environment. Data from aledb (includes ""non-notables"" as well): https://aledb.org/ale/project/13/. Glycerol not useful ((https://aledb.org/mutations/?ale_experiment_id=53) - only 2 populations.",E. coli,haploid,5,"1180 generations (glu-xyl), 1170 (glu-gly), 650 (glu-ac), & ~ 1000 for others.",,,"M9 minimal medium + carbon source(s). Three tubes switched between glucose and xylose (1,180 generations), three between glucose and glycerol (1,170 generations), and three between glucose and acetate (650 generations). Cultures were also evolved to each of the four different compounds on their own with no switching: glucose, xylose, glycerol, and acetate. aledb datasets are available for all environments except the glucose control.",File S2: Mutations found at > 15% frequency (for dynamic (i.e. alternating) growth conditions) & mutation list for static (i.e. single-medium) growth conditions.,Glycerol data isn't useful - only 2 populations.,A
21,TL,https://aem.asm.org/content/85/5/e02792-18.abstract,Experimental Evolution of E. coli K-12 in the Presence of Proton Motive Force (PMF) Uncoupler Carbonyl Cyanide m-Chlorophenylhydrazone Selects for Mutations Affecting PMF-Driven Drug Efflux Pumps,"Griffith, 2019",1 - Thesis. Has breseq mutation data.,E. coli,Haploid,17,1000,,At least 157 (Table S1) - need to combine w/ Tables S2 & 3.,"Modified LBK medium (10 g/liter tryptone, 5 g/liter yeast extract, and 7.45 g/liter KCl. 9 strains grew on pH 6.5 medium, 8 on pH 8. CCCP concentrations increased over time for both media (20-150 for pH 6.5 & 60-150 for pH 8).",Tables S1-3 has breseq data.,"WGS after 1000 generations. There were 2 C-B11 strains that were sequenced after 2000 generations, but data isn't useful because there are only 2 strains.",B2
11,TL,https://academic.oup.com/mbe/article/34/7/1758/3091892,Rapid Genetic Adaptation during the First Four Months of Survival under Resource Exhaustion,"Avrani, 2017","1 -Table S2. Mutiple days. Treat them as ""generations"". Email: ruthersh@tx.technion.ac.il ",E. coli,haploid,5,11 days,,,LB. Stressor: Resource exhaustion.,,"Only used data from Day 11 (Only days 11, 64, & 127 were common time points for all populations. Pop 4 Day 64 and Pop 2 Day 127 suspected to be mutators, so those days were omitted). Treat data as single-gen.",B2
22,TL,https://www.nature.com/articles/s41564-018-0340-2,Pseudogene repair driven by selection pressure applied in experimental evolution,"Anand, 2019",1 - Supplementary Table 2. For contact: https://www-nature-com.uml.idm.oclc.org/articles/s41564-018-0340-2/email/correspondent/c1/new,E. coli,haploid,"1 (the other had 3 replicates, but 2 w/ iron & 1 w/o).","47 days (ALE_36), 38 (ALE_37), & 39 (ALE_38) - Supplementary Figure 4 - used (47+38+39)/3 = 41 days in analysis.",,,"M9 minimal medium with 4 g/l glucose, kept at 37 °C and well-mixed for full aeration. Iron supplementation: 20 µM FeSO4 & 10 mM sodium citrate.",Supplementary Table 2 has mutation data.,,A & B2
6,TL,https://link.springer.com/article/10.1007/s00239-017-9781-0,Experimental Evolution of E. coli Harboring an Ancient Translation Protein,"Kacar, 2017",1,E. coli,haploid,6,2000,,,,Supplementary Material 6,"_ Founder: Native tufB replaced by inferred ancestor.
_ The 6 populations in Supplementary Material 6 are the 6 ancient-modern hybrid lines.",B2
13,TL,https://www.biorxiv.org/content/10.1101/347609v1.abstract,Evolutionary trade-offs between unicellularity and multicellularity in budding yeast,"Kuzdzal-Fick, 2018","1 - Table S1. Email:  gabor.balazsi@stonybrook.edu
",S. cerevisiae,haploid,3,28 days,,,"YPD. 30°C, shaking LabNet 311DS incubator at 300 rpm.",,"_ Founder: TBR1, a segregant obtained by multiple crosses of baking strains.
Table S1 - Unique mutations in the TBR1 EvoTop isolates (minimum frequency 14%). Email sent 190604. Got file 190610.",B2
12,TL,https://www.nature.com/articles/s41467-018-06219-9,Evolution of gene knockout strains of E. coli reveal regulatory architectures governed by metabolism,"McCloskey, 2018",1 - frequencies provided as a table,E. coli,haploid,5 knockout strains and Ref,~35 days (Fig. 1d),,,glucose minimal media at 37 °C,Supplementary Data 5,,B2
17,TL,https://academic.oup.com/mbe/article/34/9/2367/3864503,Metabolism and the Evolution of Social Behavior,"Boyle, 2017",1 - Table S2 - collapse the isolates (e.g. 2-1 & 2-2 become just 2).,P. aeruginosa (PA14),haploid,6,49 (7 days x ~ 7 gens/day),,,LB,Table S2 ,_ Founder: cbrA deleted.,B2
,TL,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2009-10-10-r118,Whole-genome resequencing of E. coli K-12 MG1655 undergoing short-term laboratory evolution in lactate minimal media reveals flexible selection of adaptive mutations,"Conrad, 2009",1 - Table 1 - split data into 2 exps,E. coli K-12 (MG1655),haploid,11 - 2 exps: 1 using 5 & 1 using 6.,1100 gens (LactA to LactE); 750 gens (LactF to LactK),,,"2 g/L L-lactate, M9 minimal medium. Stressor: Lactate.",,TL - don't know where I found this.,
1,TL,https://www.biorxiv.org/content/10.1101/659706v1.full,Adaptive laboratory evolution of E. coli under acid stress,"Du, 2019",1 - Table S2. Email: palsson@ucsd.edu,E. coli K-12,,"6 (6 pH 5.5, 2x2 pH 7, but pH 7 pops won't be useful (only 2 per founder)",800 (111-118 flasks),,,"Minimal glucose medium, pH 5.5, buffered w/ 150 mM MES (pKa = 6.1), Mg concentration = 0.2 mM. Stressor: pH 5.5.",Table S2 has all mutations,"[Group data into ""intermediate"" & ""late"" time points. For multiple-flask mutations, include in both time points]. For each pop, divide the total flask number by 4:
_ Data <= 1/4 flask number -> early. 
_ 1/4 flask number <= Data <= 3/4 flask number -> intermediate. 
_ The rest -> late.

When visualizing: Take ""late"" as 800 gens, & ""intermediate"" as 400 gens.",B6
20,TL,https://scholars.unh.edu/cgi/viewcontent.cgi?article=3164&context=dissertation,Causes and Consequences of Diversity within Experimental Biofilms of P. aeruginosa,"Flynn, 2014",1 - Tables B.2 & C.1,P. aeruginosa (PA14),haploid,2 founder x 3 reps,540,,,3 pops: 7mm polystyrene (PS) beads suspended in M63. 3 pops: no beads. Stressor: PS beads.,Tables B.2 & C.1,Table B.3 not helpful - eliminated some mutations. Table B.4 not helpful - only 1 pop. ,B2
3,TL,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007958,Modular epistasis and the compensatory evolution of gene deletion mutants,"Echenique, 2019",1 - S2 Data. Email: mdesai@oeb.harvard.edu,S. cerevisiae,haploid,740 (37 founders x 20 replicates each) (only 100 seq'ed),500,,,YPD.,,Choose only the founders with 3 or more pops,B6
,TL,https://genome.cshlp.org/content/24/11/1830.short,"Preservation of genetic and regulatory robustness
in ancient gene duplicates of S. cerevisiae","Keane, 2014","1 - Supp Tables S1-5. The ""p"" in ""p100"" are for passages. TL assumes p100 (last passage in datasets) = gen 2200 (gen # included in paper) and deduced the # of gens for the other passages. TL assumes ""Ancestor"" to be p0. TL decided to exclude pop 5 from analysis because there's no data for p100. Analyze pops 1, 2, 3, & 4 at shared timepoints: p0, p20 (gen 440), p50 (gen 1100), p70 (gen 1540), p90 (gen 1980), & p100.",S. cerevisiae (deleted msh2),haploid,5,2200,,,YPD.,,TL - don't know where I found this.,
3,TL,https://www.biorxiv.org/content/biorxiv/early/2019/02/08/542548.full.pdf,Chemical-genetic profiling reveals cross-resistance and collateral sensitivity between antimicrobial peptides,"Kintses, 2019",1 - Table S9,E. coli K-12,,10,~ 120,,,MS medium + HBD-3. Stressor: HBD-3.,,,B6
3,TL,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717616302348#s0105,Increased production of L-serine in E. coli through Adaptive Laboratory Evolution,"Mundhada, 2017","1 - Project SER in aledb. Paper says 5 pops, but only data for 3 in aledb bc the other 2 are hypermutators  Email: afeist@ucsd.edu",E. coli K-12 MG1655 ,haploid,5,45 days,106 (ALEdb),36 (ALEdb),M9 minimal media supplemented with 2 mM glycine and increasing concentrations of the amino acid L-serine at 37 °C. Stressor: L-serine.,,Email sent 190603. Replied 190610. Explanation received 190621.,A & B2
,TL,https://academic-oup-com.uml.idm.oclc.org/gbe/article/doi/10.1093/gbe/evq035/574394,Divergence Involving Global Regulatory Gene Mutations in an E. coli Population Evolving under Phosphate Limitation,"Wang, 2010","1 - Table 1. The different ""strain names"" (""BWxxxx"") are actually pop names. They were ""clones coevolved from the parental strain MC4100TF"".",E. coli K-12 MC4100TF,haploid,5,37 days,,,"Chemostat, T-salts minimal medium, phosphate limitation. Stressor: Phosphate limitation. ",,Cited by Dragosits2013: https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-12-64#Sec2,MD
1,TL,https://www.biorxiv.org/content/10.1101/624205v1.abstract,Mutations that improve the efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,"Morgenthaler, 2019",1,E. coli K-12 (AM187),,8,[~718-1000],,,"37 °C, M9 (0.2% glucose, 0.4 mM proline, & 20 µg/mL kanamycin) ","""mutation"" sheet","_ Founder: AM187, constructed from E. coli BW25113 i.e. K-12).
_ Notate w/ days (generations too varied). Also, 2 genes notated in breseq (e.g. kanR/argB), but doesn't say intergenic - remove (remove those with ""/"" in ""gene"" column?)",B6
,TL,https://science-sciencemag-org.uml.idm.oclc.org/content/344/6191/1519.full,Global Epistasis Makes Adaptation Predictable Despite Sequence-Level Stochasticity,"Kryazhimskiy, 2014",1,S. cerevisiae (W303),haploid,"64 founders x 10 reps each (After rounds of clone selection & exclusion (see ""Material & Methods""-""Full-genome sequencing""""), sequenced only 104 clones from 15 founders in Table S5). ",500,,,"YPD, 30 degrees C.",_ Table S5.,"_ Cited by Lenski2017: https://www.nature.com/articles/ismej201769.
_ In Table S5: CL = Contigency Loci.
_ All Founders have shorthand labels “Sddd” or “Lddd”, where “ddd” is a
three-digit number, e.g., L013.
_ Founder notation: S (Small bottleneck size during Diversification phase) & L (Large). During adaptation, pops from both types of founders were propagated with a large bottleneck size.
_ 2 big phases in ALE: Diversification (to establish Founders) & Adaptation.
_ Founders L096 & L102 were mixtures of 2 genotypes each, so 2 founders become 4: L096a, L096b, L102, & L102a.
_ 10 replicates from same Founder populate the same row, 2 random blank wells, replicates numbered 1-12 based on location in row.
_ Table S5, ""Notes"" column, ""not used"" = Not used for further analysis beyond sequencing.
_ ""Complex"" mutations: ""mutations at nearby sites that were called in the same clone.""
_ Manually removed populations and/or founders whose ""Notes"" col has ""likely mutator"" or ""likely diploid"".",RL
25,,https://tel.archives-ouvertes.fr/tel-01599361/,Study of the emergence of the diversity of E. coli in vivo by whole genome sequencing,"Launay, 2017","2 - Frequencies given for only genes of interest. Good data but I'm unsure of the number of populations (30 mice in 15 cages - would each mouse house its own E. coli population?). PDF. Pages 95-98 of thesis (not PDF). Email:
olivier.tenaillon@inserm.fr",E. coli,haploid,,,,,,,,B2
25,,https://tel.archives-ouvertes.fr/tel-01686310/,Dynamiques théorique et expérimentale des taux de mutations,"Caudwell, 2018",2 - ALE & WGS. Should have data for gene-specific mutations - Page 107 of thesis (not PDF) has a mutation summary table. Email: dominique.schneider@ujf-grenoble.fr,-,,,,,,,,,B2
19,,https://digital.kenyon.edu/cgi/viewcontent.cgi?article=1019&context=summerscienceprogram,Antibiotic Resistance Mechanisms in Benzoate-Evolved E. coli,"Tancredi, 2019",2 - Looks like they may have the data (very promising) but I wasn't able to access. Summer research poster. Email: slonczewski@kenyon.edu ,E.coli,,24,2000,,,,,,B2
24,,https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00036059/Glen_Dsouza_PhD_thesis.pdf,The evolution of metabolic dependency in bacteria,"D'Souza, 2016","2 - Thesis. Whole genome sequenced (Page 109 of thesis), but not provided in SI. Email: glen.dsouza@eawag.ch",-,,,,,,,,,B2
8,,https://www.nature.com/articles/ismej201718,Chance and necessity in the genome evolution of endosymbiotic bacteria of insects,"Sabater-Munoz, 2017","2 - 2-pop experiment (A & B) isn't helpful, but the 5-pop experiment might be. Data for only 1 pop could be sent as of 190611 - other 4 will be part of a PhD thesis. Email: b.sabater.munyoz@gmail.com",E. coli,Haploid,5,561,298,,LB,Table S6 - doesn't say which population has which mutations,Email sent 190603. Replied 190611. Table S6 data received 190621.,B2
2,"190626: copied to ""Ask, contact, & contacted"".",https://www.biorxiv.org/content/10.1101/575134v3,Non-lethal oxidative stress boosts bacterial survival and evolvability under lethal exposure,"Rodriguez-Rojas, 2019","2 - did breseq, should have mutation data (not found in Supp Material). Email: a.rojas@fu-berlin.de",E. coli K-12 MG1655 ,,5,~ 50,,,"LB, stressor: H2O2.",,,B6
5,"190626: copied to ""Ask, contact, & contacted"".",https://uh-ir.tdl.org/uh-ir/bitstream/handle/10657/3375/KARKARE-DISSERTATION-2018.pdf?sequence=1,An Exploration of Fitness Landscapes: Theory and Experiments,"Karkare, 2018","2 - should have mutation data. Thesis, so data probably unavailable yet. But still, might as well ask. Email (1st-mentioned advisor, not mentioned as corresponding email): tfcooper@uh.edu",E. coli,,2 founders x 3 replicates each x 4 envirs,8000,,,"Davis minimal medium supplemented w/: Lac only (L), daily alternating bt glu & lac (G/L), or 2,000-gen alternating starting w/ glu (GL) or lac (LG).",,,B6
12,,https://msphere.asm.org/content/2/3/e00059-17?utm_source=TrendMDmSphere&utm_medium=TrendMDmSphere&utm_campaign=trendmdalljournals_0,Genomewide Mutational Diversity in E. coli Population Evolving in Prolonged Stationary Phase,"Chib, 2017","2 - Table 2 has mutation data, but only for ""genes of interest"". Very likely author has complete data. Used days, not generations. Has frequencies. Email: savitac@ncbs.res.in",E. coli,haploid,4,28 days (not generations),192,,"LB. Incubator shaker set at 37°C and
200 rpm.",Table S6 - so far just for 1 pop.,"Paper evolved 5 populations, but 1 had mutator-like phenotype, so it was excluded. Email sent 190604. ",B2
,,https://aem-asm-org.uml.idm.oclc.org/content/aem/76/13/4158.full.pdf,"Adaptive Evolution of E. coli K-12 MG1655 during Growth on a Nonnative Carbon Source, L-1,2-Propanediol","Lee, 2010",3-Only 1 population,E. coli K-12 MG1655,haploid,,700 generation,,,"M9 minimal glycerol + 1,2 propanediol",,,MD
,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002444,Adaptive Evolution of the Lactose Utilization Network in Experimentally Evolved Populations of E. coli,"Quan, 2012",3-Looked at Lac operon specifically,E. coliREL606,,,2000 generations,,,"DM minimal medium, lactose",,,MD
,,https://www-genetics-org.uml.idm.oclc.org/content/180/1/431,"Genetic Basis of Evolutionary Adaptation by E. coli to Stressful Cycles of Freezing, Thawing and Growth","Sleight, 2008",3-Don't believe whole genome sequencing occured,E.coli,,,150 cycles,,,Freeze-thaw,,,MD
,,http://msb.embopress.org/content/6/1/449.short,"Evolution, genomic analysis, and reconstruction of isobutanol tolerance in E. coli","Atsumi, 2010",3-Only interested in 1 population and ancestor,E.coli,,,45 transfers,,,LB medium 4 – 8 g L-1isobutanol,,,MD
,,https://microbialcellfactories.biomedcentral.com/articles/10.1186/1475-2859-10-18,Evolution combined with genomic study elucidates genetic bases of isobutanol tolerance in E. coli,"Minty, 2011","3 - Only "" resequenced the genomes of G3.2, G3.6, and X3.5, three highly isobutanol tolerant clones from the evolution end populations""",E. coli K-12 MG1655 (EcNR1),haploid,6,500 generations,,,"3 pops on NG50 (M9 salts, 50g/L glu, & 0.25 mg/L biotin, isobutanol (initial conc. 0.75% (w/v)), 3 on NX50 (xylose instead of glu). Stressor: glu/xyl, isobutanol.","Inspected manually to detect breakpoints, then confirmed by Sanger seq.",,MD
,,https://aem-asm-org.uml.idm.oclc.org/content/aem/78/1/144.full.pdf,Experimental Evolution of a Facultative Thermophile from a Mesophilic Ancestor,"Blaby, 2012",3 - 1 population. Strains seq'ed were sequentially sampled at dif temperature i.e. dif time points.,E. coli K-12 (MG1655),haploid ,1,234 days,,,"LB medium, temp stress (up to 48°C)",,,MD
,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1096717612000511,Visualizing evolution in real time to determine the molecular mechanisms of n-butanol tolerance in E. coli,"Reyes, 2012",3 - no relevant data,E. coli K-12 (BW25113),haploid,,> 200 generations,,,"M9, glucose, chemostat, n-butanol",,,MD
,,http://msb.embopress.org/content/9/1/643.short,"Evolutionary potential, cross‐stress behavior and the genetic basis of acquired stress resistance in E. coli","Dragosits, 2013",3 - only seq'ed 1 pop per envir,E. coliMG1655,haploid,,500 generations,,,"Control (just M9), osmotic (NaCl), acidic (pH 5.5), oxidative (H2O2), & n-butanol.",,,MD
,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-11-88,Whole-genome sequencing of a laboratory-evolved yeast strain,"Araya, 2010",3- Only one evolved strain and its ancestor ,S. cerevisiaeDBY11331,,,188 generations,,,sulfate-limited chemostat,,,MD
,,https://www-pnas-org.uml.idm.oclc.org/content/pnas/108/29/12179.full.pdf,Unravelling evolutionary strategies of yeast for improving galactose utilization through integrated systems level analysis,"Hong, 2011",3 - had data but 1 pop looked like a mutator (334 mutations vs 34 & 40 in the other 2),S. cerevisiae CEN-PK,,3,400 generations,,,galactose minimal medium,,,MD
,,https://academic-oup-com.uml.idm.oclc.org/femsyr/article/12/3/359/592891,Laboratory evolution of new lactate transporter genes in a jen1Δ mutant of S. cerevisiaeand their identification as ADY2 alleles by whole-genome resequencing and transcriptome analysis,"de Kok, 2012",3 - 2 pops,S. cerevisiae CEN-PK (∆jen1),,,10 transfers,,,"synthetic medium, lactate",,,MD
,,https://academic-oup-com.uml.idm.oclc.org/femsyr/article/12/5/521/495657,Turbidostat culture of S. cerevisiaeW303-1A under selective pressure elicited by ethanol selects for mutations in SSD1 and UTH1,"Avrahami-Moyal, 2012",3 - 1 pop,"S. cerevisiae, W303",,,141 generations,,,"YP medium, 6 – 8% ethanol",,,MD
,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S0092867408011963,Aneuploidy Underlies Rapid Adaptive Evolution of Yeast Cells Deprived of a Conserved Cytokinesis Motor,"Rancati, 2008",3-No WGS,S. cerevisiae ∆myo1,,,nd,,,cytokinesis stress,,,MD
1,,https://search-proquest-com.uml.idm.oclc.org/docview/2153755316/previewPDF/C036788C7244CDCPQ/1?accountid=14569,The Identification of Novel Aminoglycoside Adjuvants for the Eradication of P. aeruginosa Biofilms,"Maiden, 2018","2 - Thesis. Can't access full text, but seems promising",P. aeruginosa,,,,,,,,,B6
1,,https://www-nature-com.uml.idm.oclc.org/articles/s41467-019-10371-1,Vibrio sp. dhg as a platform for the biorefinery of brown macroalgae,"Lim, 2019",3 - Species currently not considered for model,Vibrio sp. dhg,,,,,,,,,B6
1,,https://www.biorxiv.org/content/biorxiv/early/2019/06/06/662882.full.pdf,Acid and Iron Experimental Evolution of Halobacterium sp. NRC-1,"Kunka, 2019",3 - Species currently not considered for model,Halobacterium sp. NRC-1,,,,,,,,,B6
1,,https://mro.massey.ac.nz/bitstream/handle/10179/14639/02_whole.pdf?sequence=2&isAllowed=y,"Exploring the origins of multicellularity using
experimental populations of Pseudomonas fluorescens
SBW25: Deciphering the genetic basis of an
environmentally-responsive developmental switch","Summers, 2018",3 - Species currently not considered for model,"Pseudomonas fluorescens
SBW25",,,,,,,,,B6
1,,https://www.biorxiv.org/content/biorxiv/early/2019/05/17/639039.full.pdf,Genome replication dynamics of a bacteriophage and its satellite reveal strategies for parasitism and viral restriction,"Barth, 2019",3 - Species currently not considered for model,Vibrio cholerae,,,,,,,,,B6
1,YES,https://www.biorxiv.org/content/10.1101/624205v1.abstract,Mutations that improve the efficiency of a weak-link enzyme are rare compared to adaptive mutations elsewhere in the genome,"Morgenthaler, 2019",1,E. coli K-12,,8,[~718-1000],,,"37 °C, M9 (0.2% glucose, 0.4 mM proline, & 20 µg/mL kanamycin) ","""mutation"" sheet","Notate w/ days (generations too varied). Also, 2 genes notated in breseq (e.g. kanR/argB), but doesn't say intergenic - remove (remove those with ""/"" in ""gene"" column?)",B6
