gene,population,2,10
kdgT ,u4,0,0
yjaA  ,u4,0,0
yjbH  ,u4,0,0
lamB  ,u4,0,0
yjhG  ,u4,0,0
fimE  ,u4,0,0
fimE  ,u4,0,0
fimE  ,u4,0,0
hsdM  ,u4,0,0
leuP  ,u4,0,0
ftsZ  ,u5,0,0
lpxC ,u5,0,0
dnaE  ,u5,0,0
betA  ,u5,0,0
codA  ,u5,0,0
mhpA  ,u5,0,0
mak  ,u5,0,0
ybbD  ,u5,0,0
appY  ,u5,0,1
ybeM  ,u5,0,0
metT  ,u5,0,0
asnB  ,u5,0,0
pgm  ,u5,0,0
ybgI  ,u5,0,0
ssuD  ,u5,1,1
ymfQ  ,u5,0,0
galU  ,u5,0,0
manA  ,u5,0,0
uidA  ,u5,0,1
arpB ,u5,0,0
nudG  ,u5,0,0
yeaD  ,u5,0,1
manZ  ,u5,0,0
proQ  ,u5,0,0
yebK  ,u5,1,1
tyrP  ,u5,0,0
fliR  ,u5,0,0
wcaG  ,u5,0,0
preA  ,u5,1,1
yejM  ,u5,0,0
ompC  ,u5,0,0
ompC  ,u5,0,0
ompC  ,u5,0,0
rcsD  ,u5,0,0
rcsD  ,u5,0,0
rcsB  ,u5,0,0
rcsB  ,u5,1,1
rcsC  ,u5,0,0
rcsC  ,u5,0,0
rcsC  ,u5,0,0
rcsC  ,u5,0,0
rcsC  ,u5,0,0
yfcG  ,u5,1,1
evgA  ,u5,0,0
pbpC  ,u5,0,0
hmp  ,u5,0,0
yfjL  ,u5,1,1
ascF  ,u5,0,0
csdA  ,u5,0,0
ptrA  ,u5,0,0
ygiS  ,u5,0,0
hldE  ,u5,0,0
degQ  ,u5,0,0
frlB  ,u5,0,0
yrfF  ,u5,1,1
yrfF  ,u5,0,0
yrfF  ,u5,0,0
envZ  ,u5,0,0
malT  ,u5,0,0
rbbA  ,u5,0,0
yhiL  ,u5,0,0
yhjD  ,u5,0,0
waaO  ,u5,0,0
waaO  ,u5,0,0
aspT  ,u5,0,0
ilvE ,u5,0,0
kdgT ,u5,0,0
yjaA  ,u5,0,0
yjbH  ,u5,0,0
lamB  ,u5,0,0
yjhG  ,u5,0,0
fimE  ,u5,0,0
fimE  ,u5,0,0
fimE  ,u5,0,0
hsdM  ,u5,0,0
leuP  ,u5,0,1
ftsZ  ,u6,0,1
lpxC ,u6,0,0
dnaE  ,u6,0,0
betA  ,u6,1,1
codA  ,u6,0,0
mhpA  ,u6,0,0
mak  ,u6,1,1
ybbD  ,u6,1,1
appY  ,u6,0,0
ybeM  ,u6,0,0
metT  ,u6,0,0
asnB  ,u6,0,0
pgm  ,u6,0,0
ybgI  ,u6,0,0
ssuD  ,u6,0,0
ymfQ  ,u6,0,0
galU  ,u6,0,0
manA  ,u6,0,0
uidA  ,u6,0,0
arpB ,u6,0,0
nudG  ,u6,0,0
yeaD  ,u6,0,0
manZ  ,u6,0,0
proQ  ,u6,0,0
yebK  ,u6,0,0
tyrP  ,u6,0,0
fliR  ,u6,0,0
wcaG  ,u6,0,1
preA  ,u6,0,0
yejM  ,u6,0,0
ompC  ,u6,0,0
ompC  ,u6,0,0
ompC  ,u6,0,0
rcsD  ,u6,0,0
rcsD  ,u6,0,0
rcsB  ,u6,0,0
rcsB  ,u6,0,0
rcsC  ,u6,0,0
rcsC  ,u6,0,0
rcsC  ,u6,0,0
rcsC  ,u6,1,0
rcsC  ,u6,0,0
yfcG  ,u6,0,0
evgA  ,u6,0,0
pbpC  ,u6,0,0
hmp  ,u6,0,0
yfjL  ,u6,0,0
ascF  ,u6,1,1
csdA  ,u6,1,1
ptrA  ,u6,0,0
ygiS  ,u6,0,0
hldE  ,u6,0,0
degQ  ,u6,0,0
frlB  ,u6,0,0
yrfF  ,u6,0,0
yrfF  ,u6,0,0
yrfF  ,u6,1,1
envZ  ,u6,0,0
malT  ,u6,0,0
rbbA  ,u6,1,1
yhiL  ,u6,0,0
yhjD  ,u6,0,0
waaO  ,u6,0,0
waaO  ,u6,0,0
aspT  ,u6,0,0
ilvE ,u6,0,0
kdgT ,u6,0,0
yjaA  ,u6,0,0
yjbH  ,u6,1,1
lamB  ,u6,0,0
yjhG  ,u6,0,0
fimE  ,u6,0,0
fimE  ,u6,0,1
fimE  ,u6,0,0
hsdM  ,u6,0,1
leuP  ,u6,0,0
