gene,population,frequency
nadR,A4,NA
mrdA,A4,NA
ascB,A4,NA
yraL,A4,NA
yigN,A4,NA
rpoC,A4,NA
mrdA,A4,NA
hslU,A4,NA
yliG,A4,NA
relA,A4,NA
metL,A4,NA
sodC,A4,NA
glmS,A4,NA
iclR,A4,NA
maf,A4,NA
gltB,A4,NA
rtcB,A4,NA
yijC,A4,NA
nadR,A4,NA
ybeA,A4,NA
astE,A4,NA
deaD,A4,NA
malT,A4,NA
mrdA,A4,NA
artM,A4,NA
dinI,A4,NA
atoC,A4,NA
menC,A4,NA
ECB02815,A4,NA
hslU,A4,NA
mreB,A4,NA
hslU,A4,NA
gltB,A4,NA
rpoB,A4,NA
proY,A5,NA
ybaL,A5,NA
rpsA,A5,NA
topA,A5,3
pykF,A5,3
yeiB,A5,3
spoT,A5,3
fimA,A5,3
ybaL,A5,NA
mreC,A5,NA
iclR,A5,NA
ECB02816,A5,NA
rpsD,A5,NA
aceB,A5,NA
manZ,A5,NA
yfgA,A5,NA
fhlA,A5,NA
iclR,A5,NA
ydhH,A5,NA
ydhV,A5,NA
gltB,A5,NA
rpsD,A5,NA
spoT,A5,NA
purH,A5,NA
rpoS,A5,NA
nadR,A5,NA
mrdA,A5,NA
ascB,A5,NA
yraL,A5,NA
yigN,A5,NA
rpoC,A5,NA
mrdA,A5,NA
hslU,A5,NA
yliG,A5,NA
relA,A5,NA
metL,A5,NA
sodC,A5,NA
glmS,A5,NA
iclR,A5,NA
maf,A5,NA
gltB,A5,NA
rtcB,A5,NA
yijC,A5,NA
nadR,A5,NA
ybeA,A5,NA
astE,A5,NA
deaD,A5,NA
malT,A5,NA
mrdA,A5,NA
artM,A5,NA
dinI,A5,NA
atoC,A5,NA
menC,A5,NA
ECB02815,A5,NA
hslU,A5,NA
mreB,A5,NA
hslU,A5,NA
gltB,A5,NA
rpoB,A5,NA
