gene,population,frequency
ybfD,a1,2
neiabrB,a1,2
neiabrB,a1,2
sucB,a1,NA
ybgC,a1,2
galK,a1,NA
bioD,a1,2
moaE,a1,NA
ybhM,a1,2
ybhR,a1,2
ybhS,a1,NA
ybhG,a1,NA
ybhGybiH,a1,NA
mntS,a1,2
ybiR,a1,NA
ybiW,a1,2
gsiD,a1,2
yliE,a1,NA
yliIgstB,a1,2
mdfA,a1,NA
rcdA,a1,NA
rimK,a1,NA
amiDybjS,a1,2
hcp,a1,2
aqpZ,a1,2
cspD,a1,2
aat,a1,2
ftsK,a1,NA
lolA,a1,2
rpsA,a1,NA
ycaI,a1,2
msbA,a1,2
lpxK,a1,2
mukB,a1,NA
ycbK,a1,2
ompF,a1,2
zapC,a1,NA
zapCycbX,a1,NA
yccS,a1,NA
insB1,a1,NA
torS,a1,NA
torA,a1,NA
ymdF,a1,NA
rutC,a1,NA
rutA,a1,2
efeU,a1,2
pgaC,a1,NA
pgaB,a1,2
insF1,a1,2
yceO,a1,NA
mdtH,a1,2
flgK,a1,2
flgK,a1,NA
flgK,a1,NA
yceF,a1,NA
plsX,a1,2
fabH,a1,2
fabF,a1,NA
pabC,a1,2
ycfQ,a1,2
mfd,a1,NA
lolE,a1,NA
xisE,a1,2
croE,a1,2
ymfM,a1,2
ymfRbeeE,a1,NA
tfaPtfaE,a1,2
tfaPtfaE,a1,2
ycgX,a1,NA
bluR,a1,NA
ymgC,a1,2
ycgM,a1,2
cvrA,a1,NA
ycgY,a1,2
dhaK,a1,NA
dhaR,a1,NA
dauA,a1,NA
hemA,a1,2
chaA,a1,NA
narL,a1,2
narI,a1,NA
rttRtpr,a1,NA
rttR,a1,NA
rttR,a1,NA
rttR,a1,NA
rttR,a1,NA
kch,a1,2
sapCsapB,a1,NA
puuA,a1,NA
pspF,a1,NA
ycjU,a1,NA
ycjV,a1,2
ycjG,a1,2
ycjG,a1,2
ycjGmpaA,a1,NA
pgrR,a1,NA
intR,a1,2
sieBydaF,a1,NA
ydaG,a1,2
rzpRrzoR,a1,NA
ydaY,a1,2
insH1,a1,NA
stfR,a1,2
stfR,a1,2
tynA,a1,2
paaG,a1,2
paaG,a1,NA
paaG,a1,NA
paaXpaaY,a1,2
ydbA,a1,2
insD1,a1,NA
ydbA,a1,NA
ynbB,a1,NA
hrpA,a1,NA
cybB,a1,NA
trg,a1,NA
opgD,a1,NA
ydcL,a1,NA
rhsEydcD,a1,2
yddK,a1,NA
fdnG,a1,2
ddpF,a1,2
ddpC,a1,2
dosC,a1,2
gadB,a1,NA
gadB,a1,NA
gadB,a1,2
gadB,a1,NA
lsrK,a1,NA
ydeA,a1,2
marA,a1,2
marB,a1,2
ydeE,a1,NA
ydeI,a1,NA
dcp,a1,2
ydfG,a1,2
rzpQ,a1,2
ydfC,a1,2
insD1,a1,2
rspB,a1,NA
rspA,a1,2
ynfA,a1,NA
speG,a1,NA
ynfH,a1,2
dmsD,a1,2
ynfM,a1,2
fumC,a1,2
ydgA,a1,2
malX,a1,NA
rsxC,a1,NA
rsxC,a1,NA
rsxD,a1,NA
rsxE,a1,2
anmK,a1,2
nemR,a1,NA
lhr,a1,NA
grxD,a1,NA
mdtK,a1,2
pykF,a1,NA
pykF,a1,NA
ldtE,a1,NA
ldtE,a1,2
sufS,a1,NA
sufD,a1,2
sufB,a1,NA
sufA,a1,NA
ydiJ,a1,NA
ydiP,a1,NA
ydiS,a1,2
ppsR,a1,NA
ydiE,a1,2
nlpC,a1,NA
btuC,a1,NA
rpmI,a1,2
arpB,a1,2
chbA,a1,2
astE,a1,2
astD,a1,NA
astD,a1,NA
ydjX,a1,2
nudGynjH,a1,NA
gapA,a1,2
yeaE,a1,NA
yeaH,a1,2
yeaJ,a1,2
yoaI,a1,2
yeaLyeaM,a1,2
yeaM,a1,NA
dmlR,a1,2
dmlA,a1,NA
yeaX,a1,2
yoaA,a1,2
mntP,a1,2
yobB,a1,NA
exoXptrB,a1,2
lpxM,a1,2
mepM,a1,NA
znuC,a1,2
yebB,a1,2
yecN,a1,NA
flhA,a1,NA
otsA,a1,2
tyrP,a1,NA
dcyD,a1,NA
yedK,a1,NA
yedN,a1,2
fliE,a1,2
fliH,a1,NA
fliN,a1,2
fliP,a1,2
fliQ,a1,NA
yedA,a1,2
yedS,a1,NA
yeeJ,a1,NA
cbl,a1,NA
insD1,a1,NA
yeeE,a1,NA
hisL,a1,NA
hisC,a1,NA
ugd,a1,2
wbbKwbbJ,a1,NA
wcaM,a1,NA
wcaL,a1,NA
wcaK,a1,NA
wcaG,a1,NA
wcaDwcaC,a1,NA
wcaC,a1,2
asmA,a1,2
asmA,a1,NA
yegI,a1,NA
baeR,a1,2
gatR,a1,NA
insF1,a1,2
gatZ,a1,NA
yegT,a1,2
yegVyegW,a1,NA
yegVyegW,a1,NA
yehB,a1,2
yehI,a1,NA
yehQ,a1,2
yehU,a1,2
yohC,a1,2
yohF,a1,NA
sanA,a1,2
galS,a1,NA
fruB,a1,2
yeiP,a1,2
yeiQ,a1,NA
yejA,a1,NA
yejA,a1,NA
yejE,a1,NA
yejO,a1,2
ccmH,a1,NA
rcsD,a1,NA
rcsC,a1,NA
yfaS,a1,NA
yfaSyfaT,a1,2
glpQ,a1,NA
rhmA,a1,2
arnAarnD,a1,2
menF,a1,2
pta,a1,NA
fabB,a1,NA
yfcO,a1,NA
yfcU,a1,2
mlaA,a1,NA
gtrA,a1,NA
tfaSyfdK,a1,2
yfdT,a1,NA
dsdX,a1,2
dsdX,a1,NA
evgS,a1,2
ypdI,a1,NA
ypdI,a1,NA
yfdY,a1,NA
lpxP,a1,NA
yfeO,a1,NA
yfeO,a1,2
mntH,a1,NA
xapR,a1,NA
xapR,a1,NA
yfeR,a1,2
yfeH,a1,NA
ypeA,a1,NA
eutR,a1,NA
eutT,a1,NA
acrD,a1,2
yffB,a1,NA
tmcA,a1,2
bcp,a1,2
hyfF,a1,NA
focB,a1,NA
hda,a1,NA
purM,a1,2
yfgG,a1,2
der,a1,NA
pbpC,a1,NA
pepB,a1,2
yphA,a1,NA
yphB,a1,NA
yphE,a1,NA
glyA,a1,NA
hmp,a1,2
pgpC,a1,NA
srmB,a1,2
pssA,a1,NA
yfiMkgtP,a1,NA
raiA,a1,2
yfiN,a1,2
yfjQ,a1,NA
yfjR,a1,2
ypjK,a1,NA
ypjA,a1,2
ypjA,a1,2
ypjC,a1,2
ygaQ,a1,2
ygaQ,a1,2
ygaQ,a1,2
ygaQ,a1,NA
gabT,a1,NA
csiR,a1,2
ygaU,a1,NA
yqaE,a1,2
ygaM,a1,NA
nrdE,a1,NA
ygaY,a1,NA
luxS,a1,2
mltB,a1,NA
mltB,a1,NA
mltB,a1,NA
srlE,a1,NA
norW,a1,2
ascB,a1,NA
hycI,a1,2
hypBhypC,a1,2
ygbA,a1,NA
mutS,a1,NA
mutS,a1,2
pphB,a1,2
iap,a1,2
ygcN,a1,NA
ygcNygcO,a1,2
ygcO,a1,2
ygcE,a1,2
mazF,a1,NA
relA,a1,NA
rlmD,a1,NA
barA,a1,NA
fucI,a1,NA
fucK,a1,2
recB,a1,NA
ppdC,a1,2
ptsP,a1,2
ptsP,a1,NA
mutH,a1,2
lysRygeA,a1,NA
kduD,a1,NA
kduI,a1,2
yqeF,a1,2
ygeI,a1,NA
pbl,a1,2
ygeN,a1,NA
insD1,a1,NA
yqeC,a1,NA
mocA,a1,2
uacT,a1,NA
uacT,a1,NA
recJ,a1,2
fau,a1,NA
rpiA,a1,NA
argP,a1,NA
scpA,a1,2
argO,a1,NA
loiP,a1,NA
speB,a1,NA
speA,a1,NA
yggR,a1,NA
yggU,a1,NA
yggN,a1,NA
mutY,a1,2
glcC,a1,NA
yghQ,a1,2
yghT,a1,NA
yghT,a1,NA
hybF,a1,NA
ygiS,a1,NA
ygiZ,a1,2
cpdA,a1,2
yqiB,a1,2
zupT,a1,2
insD1,a1,NA
yqiG,a1,2
yqiI,a1,2
glnE,a1,NA
ttdR,a1,NA
aer,a1,2
patA,a1,NA
ygjK,a1,NA
sstT,a1,NA
yhaK,a1,NA
yhaO,a1,NA
tdcA,a1,2
yhaC,a1,NA
yhaC,a1,NA
garR,a1,NA
yhaV,a1,NA
agaR,a1,2
yraP,a1,2
yraQ,a1,2
yhbO,a1,NA
yhbQ,a1,NA
yhbU,a1,2
yhbW,a1,NA
nlpI,a1,2
nlpI,a1,NA
truB,a1,NA
yhbX,a1,NA
dacB,a1,NA
dacB,a1,NA
yrbG,a1,2
ptsN,a1,NA
yhcC,a1,NA
gltB,a1,NA
yhcF,a1,NA
nanT,a1,2
yhcO,a1,2
mreDmreC,a1,NA
mreB,a1,NA
dusB,a1,2
fmt,a1,2
yhdN,a1,2
gspD,a1,NA
bfr,a1,2
yheV,a1,NA
kefB,a1,2
frlD,a1,2
php,a1,NA
php,a1,NA
yhfZ,a1,NA
yhfZ,a1,NA
dam,a1,NA
damX,a1,2
yhgE,a1,NA
envZ,a1,2
bioH,a1,NA
gntX,a1,NA
malQ,a1,2
rtcA,a1,2
glgA,a1,2
glgA,a1,NA
yhhAugpQ,a1,2
livJ,a1,2
dcrB,a1,NA
nikA,a1,NA
prlC,a1,2
gadE,a1,2
gadW,a1,2
gadX,a1,2
yhjE,a1,NA
yhjK,a1,2
bcsA,a1,NA
yhjR,a1,NA
eptB,a1,NA
eptB,a1,NA
yiaG,a1,2
xylB,a1,NA
xylF,a1,2
xylG,a1,2
xylR,a1,NA
sgbUsgbE,a1,2
selA,a1,2
yibF,a1,NA
rhsA,a1,NA
yibA,a1,NA
mtlA,a1,NA
lldD,a1,2
trmL,a1,NA
yibQwaaH,a1,2
waaH,a1,2
yibB,a1,2
coaD,a1,2
rph,a1,2
dinD,a1,NA
yicGligB,a1,2
yicI,a1,NA
setC,a1,NA
adeQ,a1,2
adeQ,a1,NA
ivbL,a1,2
yidGyidH,a1,NA
glvC,a1,2
glvC,a1,2
glvC,a1,2
cbrAdgoT,a1,NA
mdtL,a1,2
yieH,a1,2
yieH,a1,2
cbrC,a1,NA
yieL,a1,NA
atpE,a1,2
atpB,a1,2
kup,a1,NA
kup,a1,NA
rbsA,a1,2
rbsB,a1,2
rbsRhsrA,a1,NA
ilvL,a1,2
ilvA,a1,NA
gpp,a1,2
wzzE,a1,NA
wzzE,a1,NA
wzzE,a1,NA
wecB,a1,NA
wzxE,a1,NA
wecF,a1,NA
yifK,a1,NA
aslB,a1,NA
hemY,a1,NA
hemD,a1,NA
hemC,a1,NA
yigG,a1,NA
recQ,a1,NA
rmuC,a1,NA
tatDrfaH,a1,2
spf,a1,2
typA,a1,2
yihL,a1,2
yihW,a1,2
yiiD,a1,2
yiiD,a1,NA
yiiD,a1,2
rhaA,a1,NA
cpxA,a1,2
cpxP,a1,2
yijF,a1,2
pflD,a1,NA
frwDyijO,a1,NA
eptC,a1,2
trmA,a1,NA
rpoB,a1,NA
zraRpurD,a1,NA
yjaB,a1,2
aceK,a1,2
yjbB,a1,NA
lysC,a1,2
yjbS,a1,2
ryjA,a1,NA
fdhF,a1,2
mdtO,a1,NA
alsB,a1,NA
phnL,a1,2
phnG,a1,NA
phnC,a1,NA
phnC,a1,2
proP,a1,NA
adiC,a1,2
yjdF,a1,NA
fumB,a1,2
ghoS,a1,2
ghoT,a1,NA
sugEblc,a1,NA
blc,a1,NA
psd,a1,NA
nnr,a1,2
purA,a1,NA
rnr,a1,NA
yjfC,a1,NA
ulaD,a1,NA
ulaF,a1,2
yjfY,a1,NA
yjfY,a1,NA
priB,a1,2
ytfAytfB,a1,2
ytfF,a1,NA
qorB,a1,NA
msrA,a1,2
tamB,a1,2
tamB,a1,2
bdcA,a1,NA
bdcR,a1,2
bdcR,a1,2
yjgL,a1,2
idnR,a1,2
idnR,a1,2
idnT,a1,NA
idnO,a1,NA
insD1,a1,2
yjgX,a1,2
yjgX,a1,2
fecE,a1,2
fecE,a1,NA
fecA,a1,2
insB1,a1,2
yjhR,a1,NA
nanC,a1,NA
fimB,a1,2
fimD,a1,NA
yjiM,a1,2
yjiN,a1,2
yjiN,a1,NA
yjiP,a1,NA
mcrCmcrB,a1,NA
hsdM,a1,2
hsdR,a1,2
yjiA,a1,NA
tsr,a1,NA
yjjQbglJ,a1,NA
leuV,a1,NA
leuV,a1,NA
ytjA,a1,NA
yjjV,a1,2
deoA,a1,NA
deoA,a1,2
deoB,a1,2
lplA,a1,NA
trpR,a1,NA
creC,a1,2
ampE,a1,NA
eaeH,a1,NA
acrB,a1,NA
acrR,a1,NA
dsbG,a1,NA
sdhA,a1,NA
gsiA,a1,NA
insB1,a1,NA
insB1,a1,NA
insB1,a1,NA
insB1,a1,NA
insB1,a1,NA
insB1,a1,NA
purU,a1,NA
adhE,a1,NA
ycjW,a1,NA
ycjG,a1,NA
ynaK,a1,NA
yneO,a1,NA
folM,a1,NA
sufS,a1,NA
ydiY,a1,NA
rnd,a1,NA
yecS,a1,NA
rihB,a1,NA
ada,a1,NA
pta,a1,NA
evgS,a1,NA
cysA,a1,NA
focB,a1,NA
csiE,a1,NA
tyrA,a1,NA
ygfK,a1,NA
rpiA,a1,NA
yggN,a1,NA
ygjJ,a1,NA
ygjP,a1,NA
yhaO,a1,NA
infB,a1,NA
gltB,a1,NA
dcuD,a1,NA
rng,a1,NA
smf,a1,NA
yhfZ,a1,NA
glgP,a1,NA
wecB,a1,NA
pflC,a1,NA
rpoC,a1,NA
alr,a1,NA
folA,a1,NA
ampD,a1,NA
ampE,a1,NA
yadE,a1,NA
cynR,a1,NA
lacZ,a1,NA
lacZ,a1,NA
ybaL,a1,NA
fdrA,a1,NA
cusA,a1,NA
nagC,a1,NA
yliE,a1,NA
mdfA,a1,NA
ybjD,a1,NA
rpsA,a1,NA
ycbL,a1,NA
insB1,a1,NA
flgB,a1,NA
rttRtpr,a1,NA
topA,a1,NA
ycjM,a1,NA
yddK,a1,NA
yneO,a1,NA
selD,a1,NA
purT,a1,NA
plaP,a1,NA
yeeY,a1,NA
mdtB,a1,NA
mglA,a1,NA
menE,a1,NA
truA,a1,NA
oxc,a1,NA
xseA,a1,NA
hisS,a1,NA
yfhM,a1,NA
hypF,a1,NA
cysJ,a1,NA
ygcW,a1,NA
barA,a1,NA
ssnA,a1,NA
lysS,a1,NA
metK,a1,NA
qseB,a1,NA
ribB,a1,NA
ttdB,a1,NA
nusA,a1,NA
mlaD,a1,NA
yhcD,a1,NA
fis,a1,NA
smf,a1,NA
fmt,a1,NA
frlA,a1,NA
frlR,a1,NA
malP,a1,NA
yicC,a1,NA
yicT,a1,NA
yieL,a1,NA
bglH,a1,NA
bglF,a1,NA
wzzE,a1,NA
leuT,a1,NA
glmZ,a1,NA
yiiG,a1,NA
cpxA,a1,NA
yijO,a1,NA
argE,a1,NA
nrfE,a1,NA
fimH,a1,NA
mcrB,a1,NA
dnaJ,a1,NA
caiF,a1,NA
polB,a1,NA
lpd,a1,NA
dxr,a1,NA
rrlH,a1,NA
cynS,a1,NA
glxK,a1,NA
ybcM,a1,NA
gltI,a1,NA
miaB,a1,NA
nagA,a1,NA
tolB,a1,NA
modB,a1,NA
uvrB,a1,NA
yccS,a1,NA
helD,a1,NA
etk,a1,NA
insB1,a1,NA
cbpA,a1,NA
pgaB,a1,NA
pyrC,a1,NA
ldtC,a1,NA
lolE,a1,NA
trpE,a1,NA
ycjP,a1,NA
ycjS,a1,NA
insH1,a1,NA
yddA,a1,NA
ydfG,a1,NA
tfaQ,a1,NA
folM,a1,NA
uidB,a1,NA
ydiP,a1,NA
ydjA,a1,NA
dmlR,a1,NA
nudL,a1,NA
rlmA,a1,NA
mepM,a1,NA
torY,a1,NA
yeeL,a1,NA
glf,a1,NA
wcaK,a1,NA
mdtB,a1,NA
yehC,a1,NA
yehQ,a1,NA
preT,a1,NA
dsdA,a1,NA
lpxP,a1,NA
yfeX,a1,NA
aegA,a1,NA
bcp,a1,NA
purM,a1,NA
pbpC,a1,NA
yphG,a1,NA
trmD,a1,NA
ypjA,a1,NA
ygaQ,a1,NA
mutS,a1,NA
fucK,a1,NA
galR,a1,NA
metK,a1,NA
parE,a1,NA
ygjK,a1,NA
sstT,a1,NA
tdcD,a1,NA
mtr,a1,NA
fis,a1,NA
gspA,a1,NA
glpD,a1,NA
dctA,a1,NA
eptB,a1,NA
uhpC,a1,NA
kup,a1,NA
rrfA,a1,NA
rpoC,a1,NA
yjbB,a1,NA
zur,a1,NA
yjcE,a1,NA
yjcO,a1,NA
dcuA,a1,NA
epmA,a1,NA
ulaG,a1,NA
ulaC,a1,NA
tsr,a1,NA
yjjQ,a1,NA
kefC,a1,NA
hofB,a1,NA
rrlH,a1,NA
ybcH,a1,NA
purU,a1,NA
trpD,a1,NA
ynaE,a1,NA
cmoA,a1,NA
argS,a1,NA
plaP,a1,NA
mdtC,a1,NA
ccmA,a1,NA
yfaA,a1,NA
nuoF,a1,NA
yfcI,a1,NA
norV,a1,NA
fhlA,a1,NA
ygdH,a1,NA
ygeA,a1,NA
argP,a1,NA
ftsP,a1,NA
ttdR,a1,NA
smf,a1,NA
gspD,a1,NA
yhfK,a1,NA
gntK,a1,NA
rbsA,a1,NA
folA,a1,NA
htrE,a1,NA
ddlA,a1,NA
phoB,a1,NA
fepC,a1,NA
tatE,a1,NA
pflB,a1,NA
yccF,a1,NA
torC,a1,NA
pgaA,a1,NA
narJ,a1,NA
yncE,a1,NA
ydgI,a1,NA
ydiF,a1,NA
fliI,a1,NA
yedI,a1,NA
hiuH,a1,NA
yegE,a1,NA
ung,a1,NA
kgtP,a1,NA
yqiG,a1,NA
plsY,a1,NA
nusA,a1,NA
dcuD,a1,NA
fis,a1,NA
rpsD,a1,NA
gspA,a1,NA
crp,a1,NA
nirB,a1,NA
yhfT,a1,NA
xylG,a1,NA
malS,a1,NA
yiaY,a1,NA
waaL,a1,NA
bglG,a1,NA
yifK,a1,NA
fdoG,a1,NA
hupA,a1,NA
yjiN,a1,NA
folA,a1,NA
pepD,a1,NA
ykfC,a1,NA
sbcC,a1,NA
nfrA,a1,NA
entA,a1,NA
gfcD,a1,NA
purB,a1,NA
icd,a1,NA
recE,a1,NA
tynA,a1,NA
pykF,a1,NA
purT,a1,NA
amn,a1,NA
eutD,a1,NA
yfhM,a1,NA
ung,a1,NA
rpoS,a1,NA
cysN,a1,NA
bglA,a1,NA
uxaA,a1,NA
agaR,a1,NA
rpsO,a1,NA
pabA,a1,NA
selB,a1,NA
purA,a1,NA
fimB,a1,NA
rihC,a1,NA
folA,a1,NA
cra,a1,NA
ybhN,a1,NA
pqiA,a1,NA
yciB,a1,NA
ycjF,a1,NA
yneO,a1,NA
ydfE,a1,NA
yedQ,a1,NA
gyrA,a1,NA
ygcS,a1,NA
ygjR,a1,NA
fis,a1,NA
crp,a1,NA
pstA,a1,NA
rpoC,a1,NA
fecB,a1,NA
ettA,a1,NA
ykgF,a1,NA
betA,a1,NA
cynT,a1,NA
cyoA,a1,NA
ybaE,a1,NA
gsk,a1,NA
cstA,a1,NA
ftsK,a1,NA
mukF,a1,NA
putA,a1,NA
csgD,a1,NA
flgJ,a1,NA
nagK,a1,NA
stfP,a1,NA
ycgV,a1,NA
adhE,a1,NA
ydcU,a1,NA
yneO,a1,NA
ynfB,a1,NA
ynfE,a1,NA
rsxC,a1,NA
dmlR,a1,NA
yecM,a1,NA
yedA,a1,NA
yeeE,a1,NA
yehM,a1,NA
ypfH,a1,NA
uraA,a1,NA
relA,a1,NA
fucA,a1,NA
gcvP,a1,NA
sslE,a1,NA
sstT,a1,NA
pnp,a1,NA
yhfU,a1,NA
glgC,a1,NA
livJ,a1,NA
yhhI,a1,NA
yhjE,a1,NA
rph,a1,NA
wecG,a1,NA
metF,a1,NA
malM,a1,NA
tsr,a1,NA
cpxA,a1,NA
folA,a1,NA
rapA,a1,NA
gcd,a1,NA
bamA,a1,NA
yagA,a1,NA
yaiW,a1,NA
mak,a1,NA
malZ,a1,NA
dxs,a1,NA
nfrA,a1,NA
ybgI,a1,NA
ybhD,a1,NA
cydC,a1,NA
yccS,a1,NA
serX,a1,NA
csgD,a1,NA
yceI,a1,NA
solA,a1,NA
ispE,a1,NA
clsA,a1,NA
insH1,a1,NA
hrpA,a1,NA
yneO,a1,NA
lsrD,a1,NA
ydfG,a1,NA
ynfG,a1,NA
yoaD,a1,NA
fliK,a1,NA
cbeA,a1,NA
yegE,a1,NA
yegD,a1,NA
yeiG,a1,NA
ompC,a1,NA
yfaY,a1,NA
yfbT,a1,NA
focB,a1,NA
glrR,a1,NA
proX,a1,NA
parC,a1,NA
tolC,a1,NA
gltB,a1,NA
gltF,a1,NA
zntR,a1,NA
viaA,a1,NA
kup,a1,NA
rpoC,a1,NA
nrfD,a1,NA
folA,a1,NA
mrcB,a1,NA
yahC,a1,NA
frmR,a1,NA
allS,a1,NA
fepC,a1,NA
dcuC,a1,NA
ybhL,a1,NA
yliI,a1,NA
rcdA,a1,NA
ybjD,a1,NA
yccS,a1,NA
yccU,a1,NA
rutD,a1,NA
ycjT,a1,NA
ydaV,a1,NA
ydbA,a1,NA
ynfH,a1,NA
folM,a1,NA
sufB,a1,NA
astD,a1,NA
yoaA,a1,NA
torY,a1,NA
yohJ,a1,NA
preT,a1,NA
fruA,a1,NA
fruK,a1,NA
yfaL,a1,NA
inaA,a1,NA
pdxB,a1,NA
yfcU,a1,NA
evgS,a1,NA
eutH,a1,NA
glrR,a1,NA
pssA,a1,NA
yfjS,a1,NA
sslE,a1,NA
yhcO,a1,NA
aaeR,a1,NA
fis,a1,NA
frlC,a1,NA
pitA,a1,NA
slp,a1,NA
yhjA,a1,NA
yhjV,a1,NA
asnA,a1,NA
cyaA,a1,NA
hslU,a1,NA
rpoB,a1,NA
yjgL,a1,NA
sgcQ,a1,NA
folA,a1,NA
ilvH,a1,NA
lpxH,a1,NA
gltA,a1,NA
modF,a1,NA
yliI,a1,NA
pflB,a1,NA
ycdY,a1,NA
minC,a1,NA
ydaT,a1,NA
ydcT,a1,NA
folM,a1,NA
topB,a1,NA
sdaA,a1,NA
prc,a1,NA
purT,a1,NA
nupC,a1,NA
trmJ,a1,NA
scpC,a1,NA
parE,a1,NA
rhsB,a1,NA
glyQ,a1,NA
sgbH,a1,NA
rph,a1,NA
ibpB,a1,NA
metL,a1,NA
rpoC,a1,NA
rpiB,a1,NA
aspA,a1,NA
rnr,a1,NA
leuV,a1,NA
folA,a1,NA
aceF,a1,NA
btuF,a1,NA
yafE,a1,NA
yafJ,a1,NA
iraP,a1,NA
sbcD,a1,NA
queA,a1,NA
fepD,a1,NA
potE,a1,NA
potE,a1,NA
ybhG,a1,NA
ycaI,a1,NA
agp,a1,NA
puuB,a1,NA
tynA,a1,NA
yneO,a1,NA
ydgC,a1,NA
uidA,a1,NA
malI,a1,NA
ydhP,a1,NA
ydhC,a1,NA
yoaE,a1,NA
htpX,a1,NA
sbcB,a1,NA
wzxB,a1,NA
gatZ,a1,NA
mdtQ,a1,NA
lysP,a1,NA
yeiP,a1,NA
folC,a1,NA
evgS,a1,NA
yfeS,a1,NA
hyfR,a1,NA
ypjA,a1,NA
gltB,a1,NA
mreB,a1,NA
yheU,a1,NA
glgA,a1,NA
glyS,a1,NA
ilvN,a1,NA
yihO,a1,NA
frwA,a1,NA
rpoB,a1,NA
rpoC,a1,NA
yjbQ,a1,NA
crfC,a1,NA
queG,a1,NA
ryhB,a1,NA
hemX,a1,NA
yihF,a1,NA
nrfD,a1,NA
dnaK,a1,NA
aroP,a1,NA
dxr,a1,NA
yafO,a1,NA
yagK,a1,NA
rclR,a1,NA
betT,a1,NA
yaiT,a1,NA
pgpA,a1,NA
allC,a1,NA
glnS,a1,NA
speF,a1,NA
kdpD,a1,NA
abrB,a1,NA
ybjS,a1,NA
torC,a1,NA
lolC,a1,NA
dhaK,a1,NA
narK,a1,NA
adhE,a1,NA
ydcN,a1,NA
yneO,a1,NA
yneJ,a1,NA
uidC,a1,NA
pykF,a1,NA
sufB,a1,NA
yeaJ,a1,NA
aspS,a1,NA
cheR,a1,NA
cheA,a1,NA
mdtC,a1,NA
pta,a1,NA
aegA,a1,NA
guaA,a1,NA
rlmN,a1,NA
iscX,a1,NA
purL,a1,NA
norV,a1,NA
ygbT,a1,NA
ygiQ,a1,NA
yqiG,a1,NA
patA,a1,NA
prkB,a1,NA
glpG,a1,NA
glgC,a1,NA
atpD,a1,NA
viaA,a1,NA
ubiB,a1,NA
pfkA,a1,NA
birA,a1,NA
rpoB,a1,NA
zraR,a1,NA
treB,a1,NA
yjgX,a1,NA
insO,a1,NA
cra,a1,NA
mhpC,a1,NA
frmR,a1,NA
citE,a1,NA
torS,a1,NA
efeU,a1,NA
rne,a1,NA
trpC,a1,NA
tam,a1,NA
ydfI,a1,NA
uidA,a1,NA
